Year,City,Vehicle Type,Converted,Diesel,Electric,Flexible,Gasoline,Hybrid,Natural Gas,Other,Plug In Hybrid,Propane,TOTAL
2019,WEST JORDAN,Heavy Truck,31,1226,0,23,470,0,150,0,0,0,1900
2019,WEST POINT,Motorcycle - Standard,0,0,1,0,332,0,0,0,0,0,333
2019,WEST POINT,Passenger - Standard,6,24,7,193,3973,66,4,0,6,0,4279
2019,WEST POINT,Light Truck,4,542,0,418,2447,9,2,0,1,0,3423
2019,WEST POINT,Heavy Truck,0,65,0,1,46,0,0,0,0,0,112
2019,WEST VALLEY CITY,Motorcycle - Standard,0,0,3,1,2083,0,0,0,0,0,2087
2019,WEST VALLEY CITY,Passenger - Low Speed,0,0,0,0,1,0,0,0,0,0,1
2019,WEST VALLEY CITY,Passenger - Standard,64,157,84,2445,48460,858,36,0,55,1,52160
2019,WEST VALLEY CITY,Light Truck,35,2909,2,4512,26789,148,33,0,8,1,34437
2019,WEST VALLEY CITY,Heavy Truck,3,3606,0,24,683,0,141,0,0,0,4457
2019,WHITEROCKS,Motorcycle - Standard,0,0,0,0,9,0,0,0,0,0,9
2019,WHITEROCKS,Passenger - Standard,0,0,0,19,151,1,0,0,0,0,171
2019,WHITEROCKS,Light Truck,0,30,0,39,164,1,0,0,0,0,234
2019,WHITEROCKS,Heavy Truck,0,9,0,0,1,0,0,0,0,0,10
2019,WILLARD,Motorcycle - Standard,0,0,0,0,187,0,0,1,0,0,188
2019,WILLARD,Passenger - Low Speed,0,0,0,0,1,0,0,0,0,0,1
2019,WILLARD,Passenger - Standard,5,31,3,83,2027,41,5,0,5,0,2200
2019,WILLARD,Light Truck,8,584,0,202,1475,7,1,0,1,0,2278
2019,WILLARD,Heavy Truck,0,138,0,1,33,0,0,0,0,0,172
2019,WOODLAND HILLS,Motorcycle - Standard,0,0,1,0,67,0,0,0,0,0,68
2019,WOODLAND HILLS,Passenger - Standard,1,11,3,23,603,19,2,0,4,0,666
2019,WOODLAND HILLS,Light Truck,0,110,1,53,480,9,2,0,1,0,656
2019,WOODLAND HILLS,Heavy Truck,0,45,0,0,8,0,0,0,0,0,53
2019,WOODRUFF,Motorcycle - Standard,0,0,0,0,4,0,0,0,0,0,4
2019,WOODRUFF,Passenger - Standard,0,1,0,12,140,2,0,0,0,0,155
2019,WOODRUFF,Light Truck,0,87,0,32,155,0,0,0,0,0,274
2019,WOODRUFF,Heavy Truck,0,19,0,0,2,0,0,0,0,0,21
2019,WOODS CROSS,Motorcycle - Standard,0,0,0,1,312,0,0,0,0,0,313
2019,WOODS CROSS,Passenger - Standard,3,18,17,173,4174,97,7,0,16,1,4506
2019,WOODS CROSS,Light Truck,1,401,1,558,2738,23,1,0,0,0,3723
2019,WOODS CROSS,Heavy Truck,0,257,0,4,57,0,0,0,0,0,318
