Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2024,"Salt Lake City, UT",41620,1/1/2024,117,Unhealthy for Sensitive Groups,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/2/2024,93,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/3/2024,70,Moderate,PM2.5,49-035-3015,10
2024,"Salt Lake City, UT",41620,1/4/2024,65,Moderate,PM2.5,49-035-2005,10
2024,"Salt Lake City, UT",41620,1/5/2024,37,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/6/2024,37,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/7/2024,36,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/8/2024,41,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/9/2024,40,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/10/2024,41,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/11/2024,40,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/12/2024,43,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/13/2024,38,Good,Ozone,49-035-3013,10
2024,"Salt Lake City, UT",41620,1/14/2024,41,Good,PM2.5,49-035-3006,10
2024,"Salt Lake City, UT",41620,1/15/2024,48,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/16/2024,63,Moderate,PM2.5,49-035-3010,10
2024,"Salt Lake City, UT",41620,1/17/2024,70,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/18/2024,49,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/19/2024,56,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/20/2024,82,Moderate,PM2.5,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/21/2024,64,Moderate,PM2.5,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/22/2024,55,Moderate,PM2.5,49-035-3016,10
2024,"Salt Lake City, UT",41620,1/23/2024,71,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/24/2024,47,Good,PM2.5,49-035-3006,10
2024,"Salt Lake City, UT",41620,1/25/2024,44,Good,PM2.5,49-035-3010,10
2024,"Salt Lake City, UT",41620,1/26/2024,34,Good,NO2,49-045-0004,10
2024,"Salt Lake City, UT",41620,1/27/2024,52,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/28/2024,67,Moderate,PM2.5,49-035-3016,10
2024,"Salt Lake City, UT",41620,1/29/2024,82,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,1/30/2024,81,Moderate,PM2.5,49-035-3015,10
2024,"Salt Lake City, UT",41620,1/31/2024,59,Moderate,PM2.5,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/1/2024,32,Good,Ozone,49-035-3018,10
2024,"Salt Lake City, UT",41620,2/2/2024,34,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/3/2024,36,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/4/2024,41,Good,Ozone,49-035-3013,10
2024,"Salt Lake City, UT",41620,2/5/2024,36,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/6/2024,36,Good,Ozone,49-035-3013,10
2024,"Salt Lake City, UT",41620,2/7/2024,35,Good,PM2.5,49-035-3010,10
2024,"Salt Lake City, UT",41620,2/8/2024,43,Good,NO2,49-035-3018,10
2024,"Salt Lake City, UT",41620,2/9/2024,46,Good,NO2,49-035-3018,10
2024,"Salt Lake City, UT",41620,2/10/2024,35,Good,Ozone,49-035-3018,10
2024,"Salt Lake City, UT",41620,2/11/2024,38,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,2/12/2024,54,Moderate,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,2/13/2024,44,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,2/14/2024,41,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/15/2024,42,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/16/2024,39,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/17/2024,43,Good,Ozone,49-035-3018,10
2024,"Salt Lake City, UT",41620,2/18/2024,42,Good,NO2,49-035-3015,10
2024,"Salt Lake City, UT",41620,2/19/2024,42,Good,NO2,49-035-3015,10
2024,"Salt Lake City, UT",41620,2/20/2024,44,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,2/21/2024,37,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/22/2024,46,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,2/23/2024,40,Good,PM2.5,49-035-4002,10
2024,"Salt Lake City, UT",41620,2/24/2024,44,Good,PM2.5,49-035-3010,10
2024,"Salt Lake City, UT",41620,2/25/2024,43,Good,Ozone,49-035-2005,10
2024,"Salt Lake City, UT",41620,2/26/2024,42,Good,Ozone,49-045-0004,10
2024,"Salt Lake City, UT",41620,2/27/2024,42,Good,Ozone,49-045-0004,10
