City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
ALPINE,Motorcycle - Standard,0,0,0,0,1,427,0,0,0,0,0,0,0,428
ALPINE,Passenger - Low Speed,0,0,0,0,2,0,0,0,0,0,0,0,0,2
ALPINE,Passenger - Standard,0,0,4,54,103,3240,145,0,0,0,29,0,0,3575
ALPINE,Light Truck,0,0,3,441,56,4358,106,0,0,0,22,0,0,4986
ALPINE,Heavy Truck,0,0,0,239,0,42,0,0,0,0,0,0,0,281
ALTA,Motorcycle - Standard,0,0,0,0,0,12,0,0,0,0,0,0,0,12
ALTA,Passenger - Standard,0,0,0,1,2,61,0,0,0,0,0,0,0,64
ALTA,Light Truck,0,0,0,14,1,164,1,0,0,0,1,0,0,181
ALTA,Heavy Truck,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ALTAMONT,Motorcycle - Standard,0,0,0,0,0,19,0,0,0,0,0,0,0,19
ALTAMONT,Passenger - Standard,0,0,0,4,0,250,0,0,0,0,0,0,0,254
ALTAMONT,Light Truck,0,0,1,201,0,541,1,0,0,0,0,0,0,744
ALTAMONT,Heavy Truck,0,0,0,120,0,10,0,0,0,0,0,0,0,130
ALTON,Motorcycle - Standard,0,0,0,0,0,9,0,0,0,0,0,0,0,9
ALTON,Passenger - Standard,0,0,0,2,1,77,2,0,0,0,0,0,0,82
ALTON,Light Truck,0,0,0,75,0,169,0,0,0,0,0,0,0,244
ALTON,Heavy Truck,0,0,0,23,0,1,0,0,0,0,0,0,0,24
ALTONAH,Motorcycle - Standard,0,0,0,0,0,13,0,0,0,0,0,0,0,13
ALTONAH,Passenger - Standard,0,0,0,0,0,54,2,0,0,0,0,0,0,56
ALTONAH,Light Truck,0,0,1,70,0,125,0,0,0,0,0,0,0,196
ALTONAH,Heavy Truck,0,0,0,29,0,2,0,0,0,0,0,0,0,31
AMALGA,Motorcycle - Standard,0,0,0,0,0,21,0,0,0,0,0,0,0,21
AMALGA,Passenger - Standard,0,0,1,2,1,158,1,0,0,0,0,0,0,163
AMALGA,Light Truck,0,0,0,54,0,205,0,0,0,0,0,0,0,259
AMALGA,Heavy Truck,0,0,0,30,0,6,0,0,0,0,0,0,0,36
AMERICAN FORK,Motorcycle - Standard,0,0,0,0,6,721,0,0,0,2,0,0,0,729
AMERICAN FORK,Passenger - Standard,0,0,17,79,116,11264,364,0,0,0,42,0,0,11882
AMERICAN FORK,Light Truck,0,0,20,1063,57,11882,175,0,0,0,18,0,0,13215
AMERICAN FORK,Heavy Truck,0,0,0,1254,0,161,0,0,0,0,0,7,0,1422
ANETH,Motorcycle - Standard,0,0,0,0,0,10,0,0,0,0,0,0,0,10
ANETH,Passenger - Standard,0,0,0,0,0,197,2,0,0,0,0,0,0,199
ANETH,Light Truck,0,0,0,47,0,435,1,0,0,0,0,0,0,483
ANETH,Heavy Truck,0,0,0,3,0,1,0,0,0,0,0,0,0,4
ANNABELLA,Motorcycle - Standard,0,0,0,0,0,20,0,0,0,0,0,0,0,20
ANNABELLA,Passenger - Standard,0,0,2,2,1,389,2,0,0,0,1,0,0,397
ANNABELLA,Light Truck,0,0,0,163,0,538,2,0,0,0,1,0,0,704
ANNABELLA,Heavy Truck,0,0,0,37,0,3,0,0,0,0,0,0,0,40
ANTIMONY,Motorcycle - Standard,0,0,0,0,0,15,0,0,0,0,0,0,0,15
ANTIMONY,Passenger - Standard,0,0,0,0,0,73,2,0,0,0,0,0,0,75
ANTIMONY,Light Truck,0,0,0,68,0,130,0,0,0,0,0,0,0,198
ANTIMONY,Heavy Truck,0,0,0,9,0,0,0,0,0,0,0,0,0,9
APPLE VALLEY,Motorcycle - Standard,0,0,0,0,0,56,0,0,0,0,0,0,0,56
APPLE VALLEY,Passenger - Standard,0,0,2,13,2,352,12,0,0,0,1,0,0,382
APPLE VALLEY,Light Truck,0,0,2,193,3,513,7,0,0,0,0,0,0,718
APPLE VALLEY,Heavy Truck,0,0,0,36,0,7,0,0,0,0,0,0,0,43
AURORA,Motorcycle - Standard,0,0,0,0,0,35,0,0,0,0,0,0,0,35
AURORA,Passenger - Standard,0,0,2,5,1,425,8,0,0,0,2,0,0,443
AURORA,Light Truck,0,0,5,276,0,622,4,0,0,0,0,0,0,907
AURORA,Heavy Truck,0,0,0,202,0,5,0,0,0,0,0,0,0,207
AXTELL,Motorcycle - Standard,0,0,0,0,0,7,0,0,0,0,0,0,0,7
AXTELL,Passenger - Standard,0,0,0,2,0,138,2,0,0,0,0,0,0,142
AXTELL,Light Truck,0,0,0,93,0,169,0,0,0,0,0,0,0,262
AXTELL,Heavy Truck,0,0,0,11,0,3,0,0,0,0,0,0,0,14
BALLARD,Motorcycle - Standard,0,0,0,0,0,33,0,0,0,0,0,0,0,33
BALLARD,Passenger - Standard,0,0,0,1,0,400,3,0,0,0,0,0,0,404
BALLARD,Light Truck,0,0,0,213,0,670,2,0,0,0,0,0,0,885
BALLARD,Heavy Truck,0,0,0,123,0,9,0,0,0,0,0,0,0,132
BEAR RIVER CITY,Motorcycle - Standard,0,0,0,0,0,27,0,0,0,0,0,0,0,27
BEAR RIVER CITY,Passenger - Standard,0,0,5,6,0,345,6,0,0,0,2,0,0,364
BEAR RIVER CITY,Light Truck,0,0,1,171,0,454,2,0,0,0,0,0,0,628
BEAR RIVER CITY,Heavy Truck,0,0,0,46,0,7,0,0,0,0,0,0,0,53
BEAVER,Motorcycle - Standard,0,0,0,0,1,116,0,0,0,0,0,0,0,117
BEAVER,Passenger - Standard,0,0,2,30,0,1596,43,0,0,0,2,0,0,1673
BEAVER,Light Truck,0,0,6,672,1,2567,9,0,0,0,0,0,0,3255
BEAVER,Heavy Truck,0,0,1,260,0,39,0,0,0,0,0,0,0,300
BENJAMIN,Motorcycle - Standard,0,0,0,0,0,12,0,0,0,0,0,0,0,12
BENJAMIN,Passenger - Standard,0,0,1,1,1,151,6,0,0,0,0,0,0,160
BENJAMIN,Light Truck,0,0,0,83,1,193,0,0,0,0,0,0,0,277
