City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
BENJAMIN,Heavy Truck,0,0,0,12,0,1,0,0,0,0,0,0,0,13
BENSON,Motorcycle - Standard,0,0,0,0,0,14,0,0,0,0,0,0,0,14
BENSON,Passenger - Standard,0,0,1,6,0,227,3,0,0,0,1,0,0,238
BENSON,Light Truck,0,0,0,90,0,275,2,0,0,0,0,0,0,367
BENSON,Heavy Truck,0,0,0,57,0,5,0,0,0,0,0,0,0,62
BERYL,Motorcycle - Standard,0,0,0,0,0,15,0,0,0,0,0,0,0,15
BERYL,Passenger - Standard,0,0,0,4,0,312,7,0,0,0,0,0,0,323
BERYL,Light Truck,0,0,1,139,2,496,2,0,0,0,0,0,0,640
BERYL,Heavy Truck,0,0,0,128,0,7,0,0,0,0,0,0,0,135
BICKNELL,Motorcycle - Standard,0,0,0,0,0,19,0,0,0,1,0,0,0,20
BICKNELL,Passenger - Standard,0,0,0,5,0,196,4,0,0,0,0,0,0,205
BICKNELL,Light Truck,0,0,0,105,0,292,4,0,0,0,0,0,0,401
BICKNELL,Heavy Truck,0,0,0,70,0,3,0,0,0,0,0,1,0,74
BIG WATER,Motorcycle - Standard,0,0,0,0,0,12,0,0,0,0,0,0,0,12
BIG WATER,Passenger - Standard,0,0,0,1,0,109,4,0,0,0,0,0,0,114
BIG WATER,Light Truck,0,0,0,51,0,218,1,0,0,0,0,0,0,270
BIG WATER,Heavy Truck,0,0,0,9,0,2,0,0,0,0,0,0,0,11
BINGHAM CANYON,Motorcycle - Standard,0,0,0,0,0,6,0,0,0,0,0,0,0,6
BINGHAM CANYON,Passenger - Standard,0,0,1,0,0,94,2,0,0,0,2,0,0,99
BINGHAM CANYON,Light Truck,0,0,0,10,0,141,1,0,0,0,0,0,0,152
BINGHAM CANYON,Heavy Truck,0,0,0,27,0,3,0,0,0,0,0,0,0,30
BLANDING,Motorcycle - Standard,0,0,0,0,0,106,0,0,0,0,0,0,0,106
BLANDING,Passenger - Standard,0,0,2,16,4,1248,28,0,0,0,6,0,0,1304
BLANDING,Light Truck,0,0,1,395,0,1891,5,0,0,0,1,0,0,2293
BLANDING,Heavy Truck,0,0,0,215,0,22,0,0,0,0,0,0,0,237
BLUEBELL,Motorcycle - Standard,0,0,0,0,0,19,0,0,0,0,0,0,0,19
BLUEBELL,Passenger - Standard,0,0,0,3,0,205,2,0,0,0,0,0,0,210
BLUEBELL,Light Truck,0,0,1,142,0,327,0,0,0,0,0,0,0,470
BLUEBELL,Heavy Truck,0,0,0,28,0,3,0,0,0,0,0,0,0,31
BLUFF,Motorcycle - Standard,0,0,0,0,0,14,0,0,0,0,0,0,0,14
BLUFF,Passenger - Standard,0,0,0,2,1,203,9,0,0,0,1,0,0,216
BLUFF,Light Truck,0,0,0,60,1,390,7,0,0,0,0,0,0,458
BLUFF,Heavy Truck,0,0,0,11,0,1,0,0,0,0,0,0,0,12
BLUFFDALE,Motorcycle - Standard,0,0,0,0,0,410,0,0,0,0,0,0,0,410
BLUFFDALE,Passenger - Standard,0,0,12,45,89,4396,150,0,0,1,32,0,0,4725
BLUFFDALE,Light Truck,0,0,13,1107,40,5991,113,0,0,0,16,1,0,7281
BLUFFDALE,Heavy Truck,0,0,0,421,0,101,0,0,0,0,0,0,0,522
BOULDER,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
BOULDER,Passenger - Standard,0,0,0,4,1,104,3,0,0,0,0,0,0,112
BOULDER,Light Truck,0,0,0,53,0,233,1,0,0,0,1,0,0,288
BOULDER,Heavy Truck,0,0,0,7,0,1,0,0,0,0,0,0,0,8
BOUNTIFUL,Motorcycle - Standard,0,0,0,0,2,1305,0,0,0,0,0,0,0,1307
BOUNTIFUL,Passenger - Standard,0,0,50,147,165,15316,540,0,0,0,78,1,0,16297
BOUNTIFUL,Light Truck,0,0,18,1026,66,15118,302,0,0,0,31,1,0,16562
BOUNTIFUL,Heavy Truck,0,0,2,254,0,147,0,0,0,0,0,0,0,403
BRIAN HEAD,Motorcycle - Standard,0,0,0,0,0,26,0,0,0,0,0,0,0,26
BRIAN HEAD,Passenger - Standard,0,0,0,3,0,77,3,0,0,0,0,0,0,83
BRIAN HEAD,Light Truck,0,0,0,57,2,245,4,0,0,0,1,0,0,309
BRIAN HEAD,Heavy Truck,0,0,0,21,0,3,0,0,0,0,0,0,0,24
BRIGHAM CITY,Motorcycle - Standard,0,0,0,0,2,756,0,0,0,0,0,0,0,758
BRIGHAM CITY,Passenger - Standard,0,0,34,100,19,9727,208,0,0,0,39,0,0,10127
BRIGHAM CITY,Light Truck,0,0,24,1550,7,8945,79,0,0,0,3,0,0,10608
BRIGHAM CITY,Heavy Truck,0,0,4,902,0,224,0,0,0,0,0,0,0,1130
BRIGHTON,Motorcycle - Standard,0,0,0,0,0,21,0,0,0,0,0,0,0,21
BRIGHTON,Passenger - Standard,0,0,1,1,3,91,2,0,0,0,0,0,0,98
BRIGHTON,Light Truck,0,0,0,17,1,220,8,0,0,0,1,0,0,247
BRIGHTON,Heavy Truck,0,0,0,3,0,4,0,0,0,0,0,0,0,7
BROOKSIDE,Motorcycle - Standard,0,0,0,0,0,17,0,0,0,0,0,0,0,17
BROOKSIDE,Passenger - Standard,0,0,0,3,0,98,6,0,0,0,0,0,0,107
BROOKSIDE,Light Truck,0,0,0,54,0,173,2,0,0,0,1,0,0,230
BROOKSIDE,Heavy Truck,0,0,0,17,0,6,0,0,0,0,0,0,0,23
BRYCE CANYON,Passenger - Standard,0,0,0,0,0,5,0,0,0,0,0,0,0,5
BRYCE CANYON,Light Truck,0,0,0,2,0,8,0,0,0,0,0,0,0,10
CANNONVILLE,Motorcycle - Standard,0,0,0,0,0,4,0,0,0,0,0,0,0,4
CANNONVILLE,Passenger - Standard,0,0,1,1,0,62,3,0,0,0,1,0,0,68
CANNONVILLE,Light Truck,0,0,0,45,0,106,0,0,0,0,0,0,0,151
CANNONVILLE,Heavy Truck,0,0,0,20,0,1,0,0,0,0,0,0,0,21
CASTLE DALE,Motorcycle - Standard,0,0,0,0,0,26,0,0,0,0,0,0,0,26
CASTLE DALE,Passenger - Standard,0,0,2,12,1,627,13,0,0,0,1,0,0,656
CASTLE DALE,Light Truck,0,0,1,290,0,839,3,0,0,0,1,0,0,1134
CASTLE DALE,Heavy Truck,0,0,0,106,0,15,0,0,0,0,0,0,0,121
CASTLE VALLEY,Motorcycle - Standard,0,0,0,0,0,41,0,0,0,0,0,0,0,41
CASTLE VALLEY,Passenger - Standard,0,0,0,0,2,130,6,0,0,0,0,0,0,138
CASTLE VALLEY,Light Truck,0,0,0,49,3,287,5,0,0,0,0,0,0,344
CASTLE VALLEY,Heavy Truck,0,0,0,18,0,3,0,0,0,0,0,0,0,21
CEDAR CITY,Motorcycle - Standard,0,0,0,0,1,1153,0,0,0,2,0,0,0,1156
CEDAR CITY,Passenger - Standard,0,0,58,252,54,14878,475,0,0,0,47,0,0,15764
CEDAR CITY,Light Truck,0,0,47,3523,14,19219,177,0,0,0,20,1,0,23001
CEDAR CITY,Heavy Truck,0,0,3,1122,0,281,0,0,0,0,0,13,0,1419
CEDAR FORT,Passenger - Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CEDAR FORT,Light Truck,0,0,0,2,0,0,0,0,0,0,0,0,0,2
CEDAR FORT,Heavy Truck,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CEDAR HILLS,Motorcycle - Standard,0,0,0,0,1,231,0,0,0,0,0,0,0,232
CEDAR HILLS,Passenger - Standard,0,0,3,22,50,3039,136,0,0,0,15,0,0,3265
CEDAR HILLS,Light Truck,0,0,2,231,14,3317,68,0,0,0,8,0,0,3640
CEDAR HILLS,Heavy Truck,0,0,0,44,0,26,0,0,0,0,0,0,0,70
CEDAR VALLEY,Motorcycle - Standard,0,0,0,0,0,24,0,0,0,0,0,0,0,24
CEDAR VALLEY,Passenger - Standard,0,0,0,5,1,179,6,0,0,0,2,0,0,193
CEDAR VALLEY,Light Truck,0,0,0,102,0,201,4,0,0,0,0,0,0,307
CEDAR VALLEY,Heavy Truck,0,0,0,26,0,2,0,0,0,0,0,0,0,28
CENTERFIELD,Motorcycle - Standard,0,0,0,0,0,42,0,0,0,0,0,0,0,42
CENTERFIELD,Passenger - Standard,0,0,2,9,0,575,8,0,0,0,0,0,0,594
CENTERFIELD,Light Truck,0,0,3,220,0,779,6,0,0,0,0,0,0,1008
CENTERFIELD,Heavy Truck,0,0,0,81,0,6,0,0,0,0,0,0,0,87
CENTERVILLE,Motorcycle - Standard,0,0,0,0,0,444,0,0,0,0,0,0,0,444
CENTERVILLE,Passenger - Standard,0,0,9,63,73,6123,232,0,0,1,34,0,0,6535
CENTERVILLE,Light Truck,0,0,7,551,21,6398,128,0,0,0,12,0,0,7117
CENTERVILLE,Heavy Truck,0,0,0,299,0,60,0,0,0,0,0,0,0,359
CENTRAL,Motorcycle - Standard,0,0,0,0,0,31,0,0,0,0,0,0,0,31
CENTRAL,Passenger - Standard,0,0,1,8,1,256,11,0,0,0,3,0,0,280
CENTRAL,Light Truck,0,0,0,88,0,412,4,0,0,0,0,0,0,504
CENTRAL,Heavy Truck,0,0,0,8,0,14,0,0,0,0,0,0,0,22
CENTRAL VALLEY,Motorcycle - Standard,0,0,0,0,0,27,0,0,0,0,0,0,0,27
CENTRAL VALLEY,Passenger - Standard,0,0,1,2,0,267,10,0,0,0,0,0,0,280
CENTRAL VALLEY,Light Truck,0,0,2,151,0,409,2,0,0,0,0,0,0,564
CENTRAL VALLEY,Heavy Truck,0,0,0,21,0,7,0,0,0,0,0,0,0,28
CHESTER,Motorcycle - Standard,0,0,0,0,1,6,0,0,0,0,0,0,0,7
CHESTER,Passenger - Standard,0,0,1,3,2,180,3,0,0,0,0,0,0,189
CHESTER,Light Truck,0,0,1,45,0,184,0,0,0,0,0,0,0,230
CHESTER,Heavy Truck,0,0,0,19,0,3,0,0,0,0,0,0,0,22
CIRCLEVILLE,Motorcycle - Standard,0,0,0,0,0,9,0,0,0,0,0,0,0,9
CIRCLEVILLE,Passenger - Standard,0,0,2,9,0,248,3,0,0,0,0,0,0,262
CIRCLEVILLE,Light Truck,0,0,1,102,0,338,2,0,0,0,0,0,0,443
CIRCLEVILLE,Heavy Truck,0,0,0,41,0,1,0,0,0,0,0,0,0,42
CLARKSTON,Motorcycle - Standard,0,0,0,0,0,31,0,0,0,0,0,0,0,31
CLARKSTON,Passenger - Standard,0,0,1,2,1,299,8,0,0,0,0,0,0,311
CLARKSTON,Light Truck,0,0,0,126,0,329,3,0,0,0,0,0,0,458
CLARKSTON,Heavy Truck,0,0,0,38,0,15,0,0,0,0,0,0,0,53
CLAWSON,Motorcycle - Standard,0,0,0,0,0,5,0,0,0,0,0,0,0,5
CLAWSON,Passenger - Standard,0,0,0,1,0,82,2,0,0,0,0,0,0,85
CLAWSON,Light Truck,0,0,0,35,0,96,0,0,0,0,0,0,0,131
CLAWSON,Heavy Truck,0,0,0,2,0,2,0,0,0,0,0,0,0,4
CLEARFIELD,Motorcycle - Standard,0,0,0,0,0,739,0,0,0,1,0,0,0,740
CLEARFIELD,Passenger - Standard,0,0,20,81,64,11313,292,0,0,0,32,0,0,11802
CLEARFIELD,Light Truck,0,0,7,841,13,9557,101,0,0,0,11,0,0,10530
CLEARFIELD,Heavy Truck,0,0,1,371,0,101,0,0,0,0,0,0,0,473
CLEVELAND,Motorcycle - Standard,0,0,0,0,0,29,0,0,0,0,0,0,0,29
CLEVELAND,Passenger - Standard,0,0,0,2,0,339,3,0,0,0,1,0,0,345
CLEVELAND,Light Truck,0,0,0,212,0,454,0,0,0,0,0,0,0,666
CLEVELAND,Heavy Truck,0,0,0,61,0,1,0,0,0,0,0,0,0,62
CLINTON,Motorcycle - Standard,0,0,0,0,0,609,0,0,0,0,0,0,0,609
CLINTON,Passenger - Standard,0,0,13,56,49,7346,159,0,0,0,25,0,0,7648
CLINTON,Light Truck,0,0,8,889,12,6817,87,0,0,0,7,0,0,7820
CLINTON,Heavy Truck,0,0,0,125,0,67,0,0,0,0,0,0,0,192
COALVILLE,Motorcycle - Standard,0,0,0,0,0,160,0,0,0,0,0,0,0,160
COALVILLE,Passenger - Standard,0,0,3,26,7,1464,26,0,0,0,4,0,0,1530
COALVILLE,Light Truck,0,0,8,598,2,2364,47,0,0,0,1,0,0,3020
COALVILLE,Heavy Truck,0,0,0,265,0,38,0,0,0,0,0,0,0,303
COLLINSTON,Motorcycle - Standard,0,0,0,0,0,8,0,0,0,0,0,0,0,8
COLLINSTON,Passenger - Standard,0,0,0,4,1,169,2,0,0,0,1,0,0,177
COLLINSTON,Light Truck,0,0,0,73,1,200,0,0,0,0,0,0,0,274
COLLINSTON,Heavy Truck,0,0,0,23,0,11,0,0,0,0,0,0,0,34
COPPERTON,Motorcycle - Standard,0,0,0,0,0,25,0,0,0,0,0,0,0,25
COPPERTON,Passenger - Standard,0,0,2,5,1,194,4,0,0,0,0,0,0,206
COPPERTON,Light Truck,0,0,1,32,1,218,0,0,0,0,0,0,0,252
COPPERTON,Heavy Truck,0,0,0,8,0,8,0,0,0,0,0,0,0,16
CORINNE,Motorcycle - Standard,0,0,0,0,0,59,0,0,0,0,0,0,0,59
CORINNE,Passenger - Standard,0,0,3,23,2,785,13,0,0,0,2,0,0,828
CORINNE,Light Truck,0,0,3,312,0,1016,3,0,0,0,0,0,0,1334
CORINNE,Heavy Truck,0,0,1,200,0,29,0,0,0,0,0,0,0,230
CORNISH,Motorcycle - Standard,0,0,0,0,0,7,0,0,0,0,0,0,0,7
CORNISH,Passenger - Standard,0,0,0,1,0,90,1,0,0,0,0,0,0,92
CORNISH,Light Truck,0,0,0,26,0,132,2,0,0,0,0,0,0,160
CORNISH,Heavy Truck,0,0,0,4,0,4,0,0,0,0,0,0,0,8
COTTONWOOD HEIGHTS,Motorcycle - Standard,0,0,0,0,2,432,0,0,0,0,0,0,0,434
COTTONWOOD HEIGHTS,Passenger - Standard,0,0,4,48,123,4120,179,0,0,0,36,0,0,4510
COTTONWOOD HEIGHTS,Light Truck,0,0,2,294,64,5567,150,0,0,0,29,0,0,6106
COTTONWOOD HEIGHTS,Heavy Truck,0,0,0,72,0,33,0,0,0,0,0,0,0,105
COVE,Motorcycle - Standard,0,0,0,0,0,21,0,0,0,0,0,0,0,21
COVE,Passenger - Standard,0,0,0,2,0,119,3,0,0,0,0,0,0,124
COVE,Light Truck,0,0,1,57,0,197,6,0,0,0,0,0,0,261
COVE,Heavy Truck,0,0,0,28,0,3,0,0,0,0,0,0,0,31
CROYDON,Motorcycle - Standard,0,0,0,0,0,7,0,0,0,0,0,0,0,7
CROYDON,Passenger - Standard,0,0,0,5,0,76,2,0,0,0,0,0,0,83
CROYDON,Light Truck,0,0,0,47,0,102,0,0,0,0,0,0,0,149
CROYDON,Heavy Truck,0,0,0,18,0,3,0,0,0,0,0,0,0,21
DAMMERON VALLEY,Motorcycle - Standard,0,0,0,0,0,91,0,0,0,0,0,0,0,91
DAMMERON VALLEY,Passenger - Standard,0,0,2,12,5,355,22,0,0,0,3,0,0,399
DAMMERON VALLEY,Light Truck,0,0,0,166,4,542,11,0,0,0,1,0,0,724
DAMMERON VALLEY,Heavy Truck,0,0,0,26,0,15,0,0,0,0,0,0,0,41
DELTA,Motorcycle - Standard,0,0,0,0,0,146,0,0,0,0,0,0,0,146
DELTA,Passenger - Standard,0,0,5,40,1,2453,34,0,0,0,5,0,0,2538
DELTA,Light Truck,0,0,4,948,2,2876,13,0,0,0,3,0,0,3846
DELTA,Heavy Truck,0,0,0,477,0,44,0,0,0,0,0,1,0,522
DEWEYVILLE,Motorcycle - Standard,0,0,0,0,0,22,0,0,0,0,0,0,0,22
DEWEYVILLE,Passenger - Standard,0,0,1,3,2,266,11,0,0,0,0,0,0,283
DEWEYVILLE,Light Truck,0,0,1,109,1,322,2,0,0,0,0,0,0,435
DEWEYVILLE,Heavy Truck,0,0,0,19,0,4,0,0,0,0,0,0,0,23
DRAPER,Motorcycle - Standard,0,0,0,0,4,1470,0,0,0,2,0,0,0,1476
DRAPER,Passenger - Low Speed,0,0,0,0,1,1,0,0,0,0,0,0,0,2
DRAPER,Passenger - Standard,0,0,17,164,366,15515,1144,0,1,0,84,0,0,17291
DRAPER,Light Truck,0,0,17,2054,217,21872,444,0,0,0,71,1,0,24676
DRAPER,Heavy Truck,0,0,1,1274,0,309,0,0,0,0,0,0,0,1584
DUCHESNE,Motorcycle - Standard,0,0,0,0,0,109,0,0,0,0,0,0,0,109
DUCHESNE,Passenger - Standard,0,0,1,15,1,1415,16,0,0,0,1,0,0,1449
DUCHESNE,Light Truck,0,0,4,631,0,2125,9,0,0,0,1,0,0,2770
DUCHESNE,Heavy Truck,0,0,0,341,0,57,0,0,0,0,0,4,0,402
DUCK CREEK VILLAGE,Motorcycle - Standard,0,0,0,0,0,37,0,0,0,0,0,0,0,37
DUCK CREEK VILLAGE,Passenger - Standard,0,0,0,13,4,159,10,0,0,0,1,0,0,187
DUCK CREEK VILLAGE,Light Truck,0,0,1,215,1,511,3,0,0,0,2,0,0,733
DUCK CREEK VILLAGE,Heavy Truck,0,0,0,40,0,13,0,0,0,0,0,0,0,53
DUGWAY,Motorcycle - Standard,0,0,0,0,0,20,0,0,0,0,0,0,0,20
DUGWAY,Passenger - Standard,0,0,0,0,0,120,4,0,0,0,0,0,0,124
DUGWAY,Light Truck,0,0,0,17,0,216,1,0,0,0,0,0,0,234
DUGWAY,Heavy Truck,0,0,0,12,0,1,0,0,0,0,0,0,0,13
DUTCH JOHN,Motorcycle - Standard,0,0,0,0,0,6,0,0,0,0,0,0,0,6
DUTCH JOHN,Passenger - Standard,0,0,0,4,0,70,1,0,0,0,0,0,0,75
DUTCH JOHN,Light Truck,0,0,0,46,0,168,0,0,0,0,0,0,0,214
DUTCH JOHN,Heavy Truck,0,0,0,7,0,1,0,0,0,0,0,0,0,8
EAGLE MOUNTAIN,Motorcycle - Standard,0,0,0,0,3,764,0,0,0,0,0,0,0,767
EAGLE MOUNTAIN,Passenger - Standard,0,0,24,127,146,11156,468,0,0,0,80,0,0,12001
EAGLE MOUNTAIN,Light Truck,0,0,17,1294,54,12868,197,0,0,0,25,0,0,14455
EAGLE MOUNTAIN,Heavy Truck,0,0,1,337,0,98,0,0,0,0,0,0,0,436
EAST CARBON,Motorcycle - Standard,0,0,0,0,0,34,0,0,0,0,0,0,0,34
EAST CARBON,Passenger - Standard,0,0,2,7,1,539,6,0,0,0,0,0,0,555
EAST CARBON,Light Truck,0,0,1,97,0,555,3,0,0,0,1,0,0,657
EAST CARBON,Heavy Truck,0,0,0,11,0,9,0,0,0,0,0,0,0,20
EDEN,Motorcycle - Standard,0,0,0,0,0,231,0,0,0,0,0,0,0,231
EDEN,Passenger - Standard,0,0,5,29,17,1117,35,0,0,0,1,0,0,1204
EDEN,Light Truck,0,0,1,417,9,2139,37,0,0,0,9,0,0,2612
EDEN,Heavy Truck,0,0,0,89,0,42,0,0,0,0,0,0,0,131
ELBERTA,Motorcycle - Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ELBERTA,Passenger - Standard,0,0,2,1,1,119,0,0,0,0,0,0,0,123
ELBERTA,Light Truck,0,0,1,32,0,149,0,0,0,0,0,0,0,182
ELBERTA,Heavy Truck,0,0,0,56,0,5,0,0,0,0,0,0,0,61
ELK RIDGE,Motorcycle - Standard,0,0,0,0,0,128,0,0,0,0,0,0,0,128
ELK RIDGE,Passenger - Standard,0,0,5,15,14,1275,53,0,0,0,10,0,0,1372
ELK RIDGE,Light Truck,0,0,5,222,3,1576,31,0,0,0,3,0,0,1840
ELK RIDGE,Heavy Truck,0,0,1,66,0,20,0,0,0,0,0,0,0,87
ELMO,Motorcycle - Standard,0,0,0,0,0,16,0,0,0,0,0,0,0,16
ELMO,Passenger - Standard,0,0,0,9,0,293,4,0,0,0,0,0,0,306
ELMO,Light Truck,0,0,1,152,0,326,2,0,0,0,0,0,0,481
ELMO,Heavy Truck,0,0,0,16,0,4,0,0,0,0,0,0,0,20
ELSINORE,Motorcycle - Standard,0,0,0,0,0,32,0,0,0,0,0,0,0,32
ELSINORE,Passenger - Standard,0,0,1,3,1,559,5,0,0,0,2,0,0,571
ELSINORE,Light Truck,0,0,5,146,0,645,1,0,0,0,0,0,0,797
ELSINORE,Heavy Truck,0,0,0,26,0,11,0,0,0,0,0,0,0,37
ELWOOD,Motorcycle - Standard,0,0,0,0,0,32,0,0,0,0,0,0,0,32
ELWOOD,Passenger - Standard,0,0,1,3,1,311,12,0,0,0,3,0,0,331
ELWOOD,Light Truck,0,0,1,131,0,338,1,0,0,0,1,0,0,472
ELWOOD,Heavy Truck,0,0,0,40,0,4,0,0,0,0,0,0,0,44
EMERY,Motorcycle - Standard,0,0,0,0,0,14,0,0,0,0,0,0,0,14
EMERY,Passenger - Standard,0,0,0,9,0,160,3,0,0,0,0,0,0,172
EMERY,Light Truck,0,0,0,74,0,199,0,0,0,0,0,0,0,273
EMERY,Heavy Truck,0,0,0,25,0,3,0,0,0,0,0,0,0,28
ENOCH,Motorcycle - Standard,0,0,0,0,0,180,0,0,0,0,0,0,0,180
ENOCH,Passenger - Standard,0,0,9,34,3,2154,41,0,0,0,5,0,0,2246
ENOCH,Light Truck,0,0,12,605,2,2744,15,0,0,0,2,0,0,3380
ENOCH,Heavy Truck,0,0,0,86,0,33,0,0,0,0,0,0,0,119
