Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2023,"Salt Lake City, UT",41620,1/1/2023,38,Good,PM2.5,49-035-3006,9
2023,"Salt Lake City, UT",41620,1/2/2023,35,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,1/3/2023,60,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/4/2023,56,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/5/2023,35,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,1/6/2023,43,Good,PM2.5,49-035-3015,9
2023,"Salt Lake City, UT",41620,1/7/2023,54,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/8/2023,40,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/9/2023,38,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/10/2023,31,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,1/11/2023,42,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/12/2023,43,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/13/2023,57,Moderate,PM2.5,49-035-3016,9
2023,"Salt Lake City, UT",41620,1/14/2023,55,Moderate,PM2.5,49-035-3016,9
2023,"Salt Lake City, UT",41620,1/15/2023,38,Good,NO2,49-035-3010,9
2023,"Salt Lake City, UT",41620,1/16/2023,38,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/17/2023,49,Good,PM2.5,49-035-3006,9
2023,"Salt Lake City, UT",41620,1/18/2023,39,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/19/2023,48,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/20/2023,39,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/21/2023,46,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/22/2023,53,Moderate,PM2.5,49-035-3010,9
2023,"Salt Lake City, UT",41620,1/23/2023,49,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/24/2023,53,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/25/2023,69,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/26/2023,70,Moderate,PM2.5,49-035-3006,9
2023,"Salt Lake City, UT",41620,1/27/2023,43,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,1/28/2023,35,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,1/29/2023,35,Good,NO2,49-035-3006,9
2023,"Salt Lake City, UT",41620,1/30/2023,37,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,1/31/2023,64,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/1/2023,93,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/2/2023,115,Unhealthy for Sensitive Groups,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/3/2023,133,Unhealthy for Sensitive Groups,PM2.5,49-035-3006,9
2023,"Salt Lake City, UT",41620,2/4/2023,143,Unhealthy for Sensitive Groups,PM2.5,49-035-2005,9
2023,"Salt Lake City, UT",41620,2/5/2023,99,Moderate,PM2.5,49-035-3015,9
2023,"Salt Lake City, UT",41620,2/6/2023,54,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/7/2023,59,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/8/2023,61,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/9/2023,48,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/10/2023,67,Moderate,PM2.5,49-035-3016,9
2023,"Salt Lake City, UT",41620,2/11/2023,90,Moderate,PM2.5,49-035-2005,9
2023,"Salt Lake City, UT",41620,2/12/2023,86,Moderate,PM2.5,49-035-3006,9
2023,"Salt Lake City, UT",41620,2/13/2023,89,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/14/2023,43,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/15/2023,39,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,2/16/2023,50,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/17/2023,63,Moderate,PM2.5,49-035-3016,9
2023,"Salt Lake City, UT",41620,2/18/2023,76,Moderate,PM2.5,49-035-3010,9
2023,"Salt Lake City, UT",41620,2/19/2023,55,Moderate,PM2.5,49-035-3006,9
2023,"Salt Lake City, UT",41620,2/20/2023,43,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/21/2023,43,Good,Ozone,49-035-3015,9
2023,"Salt Lake City, UT",41620,2/22/2023,42,Good,Ozone,49-035-3015,9
2023,"Salt Lake City, UT",41620,2/23/2023,41,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,2/24/2023,47,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,2/25/2023,53,Moderate,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,2/26/2023,54,Moderate,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,2/27/2023,45,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,2/28/2023,46,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,3/1/2023,44,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/2/2023,44,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,3/3/2023,43,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,3/4/2023,47,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,3/5/2023,48,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,3/6/2023,49,Good,Ozone,49-035-3013,9
2023,"Salt Lake City, UT",41620,3/7/2023,55,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,3/8/2023,58,Moderate,PM2.5,49-035-3010,9
2023,"Salt Lake City, UT",41620,3/9/2023,45,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,3/10/2023,42,Good,Ozone,49-035-3006,9
2023,"Salt Lake City, UT",41620,3/11/2023,44,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/12/2023,55,Moderate,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,3/13/2023,41,Good,PM2.5,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/14/2023,44,Good,Ozone,49-035-3015,9
2023,"Salt Lake City, UT",41620,3/15/2023,44,Good,Ozone,49-035-3015,9
2023,"Salt Lake City, UT",41620,3/16/2023,51,Moderate,Ozone,49-035-3015,9
2023,"Salt Lake City, UT",41620,3/17/2023,64,Moderate,Ozone,49-035-3006,9
2023,"Salt Lake City, UT",41620,3/18/2023,50,Good,Ozone,49-035-3006,9
2023,"Salt Lake City, UT",41620,3/19/2023,46,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,3/20/2023,40,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/21/2023,42,Good,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,3/22/2023,50,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/23/2023,42,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,3/24/2023,44,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/25/2023,59,Moderate,PM10,49-035-3015,9
2023,"Salt Lake City, UT",41620,3/26/2023,43,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,3/27/2023,40,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,3/28/2023,47,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,3/29/2023,45,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,3/30/2023,87,Moderate,NO2,49-035-3015,9
2023,"Salt Lake City, UT",41620,3/31/2023,42,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/1/2023,47,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,4/2/2023,42,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/3/2023,43,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/4/2023,40,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/5/2023,44,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/6/2023,51,Moderate,NO2,49-035-3010,9
2023,"Salt Lake City, UT",41620,4/7/2023,54,Moderate,NO2,49-035-4002,9
2023,"Salt Lake City, UT",41620,4/8/2023,50,Good,PM2.5,49-035-3010,9
2023,"Salt Lake City, UT",41620,4/9/2023,49,Good,Ozone,49-035-3006,9
2023,"Salt Lake City, UT",41620,4/10/2023,61,Moderate,Ozone,49-035-3006,9
2023,"Salt Lake City, UT",41620,4/11/2023,51,Moderate,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/12/2023,75,Moderate,PM10,49-035-3015,9
2023,"Salt Lake City, UT",41620,4/13/2023,48,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/14/2023,48,Good,NO2,49-035-3015,9
2023,"Salt Lake City, UT",41620,4/15/2023,50,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/16/2023,51,Moderate,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/17/2023,67,Moderate,Ozone,49-035-3006,9
2023,"Salt Lake City, UT",41620,4/18/2023,76,Moderate,PM10,49-035-3013,9
2023,"Salt Lake City, UT",41620,4/19/2023,44,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/20/2023,46,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/21/2023,41,Good,Ozone,49-035-3014,9
2023,"Salt Lake City, UT",41620,4/22/2023,50,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/23/2023,54,Moderate,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/24/2023,45,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/25/2023,38,Good,Ozone,49-035-3016,9
2023,"Salt Lake City, UT",41620,4/26/2023,46,Good,PM2.5,49-035-4002,9
2023,"Salt Lake City, UT",41620,4/27/2023,49,Good,Ozone,49-045-0004,9
2023,"Salt Lake City, UT",41620,4/28/2023,93,Moderate,Ozone,49-045-0004,9
