City,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL,Year
WOODS CROSS,,1,10,19,19,4194,108,,0,0,20,0,0,4371,2020
WOODS CROSS,,0,4,381,1,3533,32,,0,0,0,0,0,3951,2020
WOODS CROSS,,0,0,281,0,62,0,,0,0,0,0,0,343,2020
WOODS CROSS,,0,0,281,0,62,0,,0,0,0,0,0,343,2020
"*Hybrid, Electric and CNG counts are only as accurate as the information provide by the vehicle manufacturer.",,0,0,281,0,62,0,,0,0,0,0,0,343,2020
Converted and Propane counts are only as accurate as the information provided by the owner of the vehicle.,,0,0,281,0,62,0,,0,0,0,0,0,343,2020
City is determined by address as reported by vehicle owner. Only select cities are included.,,0,0,281,0,62,0,,0,0,0,0,0,343,2020
ALPINE,,,,0,0,371,0,,,0,,0,,371,2019
ALPINE,,,,0,2,0,0,,,0,,0,,2,2019
ALPINE,,,,51,41,4156,158,,,0,,0,,4583,2019
ALPINE,,,,414,17,2999,49,,,0,,0,,3944,2019
ALPINE,,,,70,0,26,0,,,0,,0,,97,2019
ALTA,,,,0,0,10,0,,,0,,0,,10,2019
ALTA,,,,1,1,93,1,,,0,,0,,105,2019
ALTA,,,,12,0,108,1,,,0,,0,,144,2019
ALTA,,,,2,0,0,0,,,0,,0,,2,2019
ALTAMONT,,,,0,0,22,0,,,0,,0,,22,2019
ALTAMONT,,,,5,0,248,0,,,0,,0,,278,2019
ALTAMONT,,,,171,0,398,0,,,0,,0,,652,2019
ALTAMONT,,,,119,0,3,0,,,0,,0,,124,2019
ALTON,,,,0,0,5,0,,,0,,0,,5,2019
ALTON,,,,4,0,63,1,,,0,,0,,71,2019
ALTON,,,,65,0,88,0,,,0,,0,,165,2019
ALTON,,,,18,0,3,0,,,0,,0,,21,2019
ALTONAH,,,,0,0,8,0,,,0,,0,,8,2019
ALTONAH,,,,1,0,62,1,,,0,,0,,68,2019
ALTONAH,,,,64,0,97,0,,,0,,0,,181,2019
ALTONAH,,,,18,0,1,0,,,0,,0,,19,2019
AMALGA,,,,0,0,19,0,,,0,,0,,19,2019
AMALGA,,,,0,0,174,1,,,0,,0,,183,2019
AMALGA,,,,53,0,152,0,,,0,,0,,224,2019
AMALGA,,,,23,0,4,0,,,0,,0,,27,2019
AMERICAN FORK,,,,0,2,662,0,,,0,,0,,664,2019
AMERICAN FORK,,,,0,1,0,0,,,0,,0,,1,2019
AMERICAN FORK,,,,74,40,11639,289,,,0,,0,,12667,2019
AMERICAN FORK,,,,1094,3,7176,49,,,1,,0,,9476,2019
AMERICAN FORK,,,,970,0,113,0,,,0,,7,,1098,2019
ANETH,,,,0,0,12,0,,,0,,0,,12,2019
ANETH,,,,0,0,191,3,,,0,,0,,209,2019
ANETH,,,,36,0,269,0,,,0,,0,,394,2019
ANETH,,,,4,0,0,0,,,0,,0,,4,2019
ANNABELLA,,,,0,0,20,0,,,0,,0,,20,2019
ANNABELLA,,,,3,0,411,3,,,0,,0,,444,2019
ANNABELLA,,,,137,0,420,0,,,0,,0,,612,2019
ANNABELLA,,,,18,0,5,0,,,0,,0,,23,2019
ANTIMONY,,,,0,0,8,0,,,0,,0,,8,2019
ANTIMONY,,,,1,0,77,1,,,0,,0,,86,2019
ANTIMONY,,,,52,0,92,0,,,0,,0,,159,2019
ANTIMONY,,,,8,0,0,0,,,0,,0,,8,2019
APPLE VALLEY,,,,0,0,38,0,,,0,,0,,38,2019
APPLE VALLEY,,,,5,0,305,12,,,0,,0,,334,2019
APPLE VALLEY,,,,118,0,309,1,,,0,,0,,463,2019
APPLE VALLEY,,,,17,0,7,0,,,0,,0,,24,2019
AURORA,,,,0,0,33,0,,,0,,0,,33,2019
AURORA,,,,3,0,451,9,,,0,,0,,495,2019
AURORA,,,,247,0,485,2,,,0,,0,,804,2019
AURORA,,,,165,0,3,0,,,0,,0,,168,2019
AXTELL,,,,0,0,2,0,,,0,,0,,2,2019
AXTELL,,,,0,0,134,2,,,0,,0,,145,2019
AXTELL,,,,78,0,116,0,,,0,,0,,205,2019
AXTELL,,,,10,0,3,0,,,0,,0,,13,2019
BALLARD,,,,0,0,23,0,,,0,,0,,23,2019
BALLARD,,,,2,0,292,3,,,0,,0,,318,2019
BALLARD,,,,144,0,391,0,,,0,,0,,602,2019
BALLARD,,,,102,0,3,0,,,0,,0,,105,2019
BEAR RIVER CITY,,,,0,0,35,0,,,0,,0,,35,2019
BEAR RIVER CITY,,,,6,1,384,4,,,0,,0,,426,2019
BEAR RIVER CITY,,,,156,0,336,0,,,0,,0,,551,2019
BEAR RIVER CITY,,,,49,0,7,0,,,0,,0,,56,2019
BEAVER,,,,0,0,96,0,,,0,,0,,96,2019
BEAVER,,,,13,0,1593,33,,,0,,0,,1730,2019
BEAVER,,,,546,0,1912,4,,,0,,0,,2684,2019
BEAVER,,,,200,0,34,0,,,0,,0,,236,2019
BENJAMIN,,,,0,0,11,0,,,0,,0,,11,2019
BENJAMIN,,,,1,0,163,2,,,0,,0,,174,2019
BENJAMIN,,,,95,0,126,0,,,0,,0,,243,2019
BENJAMIN,,,,14,0,2,0,,,0,,1,,17,2019
BENSON,,,,0,0,13,0,,,0,,0,,13,2019
BENSON,,,,4,0,237,3,,,0,,0,,255,2019
BENSON,,,,83,0,189,2,,,0,,0,,302,2019
BENSON,,,,42,0,6,0,,,0,,0,,48,2019
BERYL,,,,0,0,14,0,,,0,,0,,14,2019
BERYL,,,,2,0,292,7,,,0,,0,,316,2019
BERYL,,,,125,0,341,1,,,0,,0,,521,2019
BERYL,,,,109,0,3,0,,,0,,0,,114,2019
BICKNELL,,,,0,0,11,0,,,0,,0,,11,2019
BICKNELL,,,,3,0,207,3,,,0,,0,,235,2019
BICKNELL,,,,87,0,202,3,,,0,,0,,312,2019
BICKNELL,,,,50,0,3,0,,,0,,1,,54,2019
BIG WATER,,,,0,0,10,0,,,0,,0,,10,2019
BIG WATER,,,,2,0,116,2,,,0,,0,,128,2019
BIG WATER,,,,39,0,128,0,,,0,,0,,189,2019
BIG WATER,,,,7,0,1,0,,,0,,0,,8,2019
BINGHAM CANYON,,,,0,0,9,0,,,0,,0,,9,2019
BINGHAM CANYON,,,,0,0,88,1,,,0,,0,,99,2019
BINGHAM CANYON,,,,9,0,108,1,,,0,,0,,194,2019
BINGHAM CANYON,,,,24,0,2,0,,,0,,0,,26,2019
BLANDING,,,,0,0,98,0,,,0,,0,,98,2019
BLANDING,,,,13,1,1346,24,,,0,,0,,1492,2019
BLANDING,,,,340,0,1380,1,,,0,,0,,1937,2019
BLANDING,,,,165,0,14,0,,,0,,0,,179,2019
