City,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL,Year
ALPINE,0,0,0,0,2,442,0,0,0,0,0,0,0,444,2024
ALPINE,0,0,2,39,132,2865,128,0,0,1,26,0,0,3193,2024
ALPINE,0,0,2,454,179,4723,183,0,0,0,42,0,0,5583,2024
ALPINE,0,0,0,258,0,29,0,0,0,0,0,0,0,287,2024
ALTA,0,0,0,0,0,11,0,0,0,0,0,0,0,11,2024
ALTA,0,0,0,1,2,47,0,0,0,0,0,0,0,50,2024
ALTA,0,0,0,14,2,173,2,0,0,0,2,0,0,193,2024
ALTA,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2024
ALTAMONT,0,0,0,0,0,24,0,0,0,0,0,0,0,24,2024
ALTAMONT,0,0,0,4,1,215,1,0,0,0,0,0,0,221,2024
ALTAMONT,0,0,0,253,0,610,0,0,0,0,0,0,0,863,2024
ALTAMONT,0,0,0,139,0,9,0,0,0,0,0,0,0,148,2024
ALTON,0,0,0,0,0,16,0,0,0,0,0,0,0,16,2024
ALTON,0,0,0,5,1,71,3,0,0,0,0,0,0,80,2024
ALTON,0,0,0,81,0,195,1,0,0,0,1,0,0,278,2024
ALTON,0,0,0,24,0,2,0,0,0,0,0,0,0,26,2024
ALTONAH,0,0,0,0,0,10,0,0,0,0,0,0,0,10,2024
ALTONAH,0,0,1,0,0,60,1,0,0,0,0,0,0,62,2024
ALTONAH,0,0,1,96,0,171,0,0,0,0,0,0,0,268,2024
ALTONAH,0,0,0,43,0,2,0,0,0,0,0,0,0,45,2024
AMALGA,0,0,0,0,0,25,0,0,0,0,0,0,0,25,2024
AMALGA,0,0,1,2,1,144,2,0,0,0,1,0,0,151,2024
AMALGA,0,0,0,60,2,202,1,0,0,0,1,0,0,266,2024
AMALGA,0,0,0,38,0,4,0,0,0,0,0,0,0,42,2024
AMERICAN FORK,0,0,0,0,8,812,0,0,0,1,0,0,0,821,2024
AMERICAN FORK,0,0,14,76,238,11198,449,0,0,0,69,0,0,12044,2024
AMERICAN FORK,0,0,16,1192,384,13974,388,0,0,0,68,0,0,16022,2024
AMERICAN FORK,0,0,0,1053,0,147,0,0,0,0,0,7,0,1207,2024
ANETH,0,0,0,0,0,11,0,0,0,0,0,0,0,11,2024
ANETH,0,0,0,0,0,183,3,0,0,0,0,0,0,186,2024
ANETH,0,0,0,52,0,416,0,0,0,0,0,0,0,468,2024
ANETH,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2024
ANNABELLA,0,0,0,0,0,24,0,0,0,0,0,0,0,24,2024
ANNABELLA,0,0,2,5,2,381,5,0,0,0,1,0,0,396,2024
ANNABELLA,0,0,0,195,1,587,5,0,0,0,2,0,0,790,2024
ANNABELLA,0,0,0,52,0,4,0,0,0,0,0,0,0,56,2024
ANTIMONY,0,0,0,0,0,12,0,0,0,0,0,0,0,12,2024
ANTIMONY,0,0,0,0,0,81,3,0,0,0,0,0,0,84,2024
ANTIMONY,0,0,0,66,0,151,0,0,0,0,0,0,0,217,2024
ANTIMONY,0,0,0,13,0,0,0,0,0,0,0,0,0,13,2024
APPLE VALLEY,0,0,0,0,0,56,0,0,0,0,0,0,0,56,2024
APPLE VALLEY,0,0,3,17,5,344,13,0,0,0,0,0,0,382,2024
APPLE VALLEY,0,0,2,212,5,571,10,0,0,0,3,0,0,803,2024
APPLE VALLEY,0,0,0,42,0,8,0,0,0,0,0,0,0,50,2024
AURORA,0,0,0,0,0,37,0,0,0,0,0,0,0,37,2024
AURORA,0,0,2,2,1,434,8,0,0,0,1,0,0,448,2024
AURORA,0,0,5,288,0,666,6,0,0,0,0,0,0,965,2024
AURORA,0,0,0,196,0,6,0,0,0,0,0,0,0,202,2024
AXTELL,0,0,0,0,0,8,0,0,0,0,0,0,0,8,2024
AXTELL,0,0,0,2,0,128,2,0,0,0,0,0,0,132,2024
AXTELL,0,0,0,92,0,219,0,0,0,0,0,0,0,311,2024
AXTELL,0,0,0,13,0,2,0,0,0,0,0,0,0,15,2024
BALLARD,0,0,0,0,0,44,0,0,0,0,0,0,0,44,2024
BALLARD,0,0,0,2,0,368,3,0,0,0,0,0,0,373,2024
BALLARD,0,0,0,261,0,727,8,0,0,0,1,0,0,997,2024
BALLARD,0,0,0,152,0,6,0,0,0,0,0,0,0,158,2024
BEAR RIVER CITY,0,0,0,0,0,29,0,0,0,0,0,0,0,29,2024
BEAR RIVER CITY,0,0,3,6,0,350,4,0,0,0,3,0,0,366,2024
BEAR RIVER CITY,0,0,1,188,0,488,3,0,0,0,0,0,0,680,2024
BEAR RIVER CITY,0,0,0,56,0,9,0,0,0,0,0,0,0,65,2024
BEAVER,0,0,0,0,1,102,0,0,0,0,0,0,0,103,2024
BEAVER,0,0,1,28,2,1563,55,0,0,0,2,0,0,1651,2024
BEAVER,0,0,6,764,2,2772,22,0,0,0,3,0,0,3569,2024
BEAVER,0,0,1,261,0,40,0,0,0,0,0,0,0,302,2024
BENJAMIN,0,0,0,0,0,12,0,0,0,0,0,0,0,12,2024
BENJAMIN,0,0,1,3,3,137,6,0,0,0,0,0,0,150,2024
BENJAMIN,0,0,0,93,1,216,2,0,0,0,0,0,0,312,2024
BENJAMIN,0,0,0,12,0,3,0,0,0,0,0,0,0,15,2024
BENSON,0,0,0,0,0,20,0,0,0,0,0,0,0,20,2024
BENSON,0,0,1,6,0,190,3,0,0,0,3,0,0,203,2024
BENSON,0,0,0,101,0,314,6,0,0,0,0,0,0,421,2024
BENSON,0,0,0,64,0,4,0,0,0,0,0,0,0,68,2024
BERYL,0,0,0,0,0,19,0,0,0,0,0,0,0,19,2024
BERYL,0,0,1,4,2,322,6,0,0,0,1,0,0,336,2024
BERYL,0,0,3,167,2,541,2,0,0,0,0,0,0,715,2024
BERYL,0,0,0,149,0,14,0,0,0,0,0,0,0,163,2024
BICKNELL,0,0,0,0,0,22,0,0,0,1,0,0,0,23,2024
BICKNELL,0,0,0,7,1,190,5,0,0,0,0,0,0,203,2024
BICKNELL,0,0,0,129,1,328,10,0,0,0,1,0,0,469,2024
BICKNELL,0,0,0,73,0,2,0,0,0,0,0,0,0,75,2024
BIG WATER,0,0,0,0,0,15,0,0,0,0,0,0,0,15,2024
BIG WATER,0,0,0,1,1,117,7,0,0,0,0,0,0,126,2024
BIG WATER,0,0,0,48,0,225,3,0,0,0,0,0,0,276,2024
BIG WATER,0,0,0,13,0,4,0,0,0,0,0,0,0,17,2024
BINGHAM CANYON,0,0,0,0,0,12,0,0,0,0,0,0,0,12,2024
BINGHAM CANYON,0,0,1,0,1,85,2,0,0,0,2,0,0,91,2024
BINGHAM CANYON,0,0,0,12,0,158,2,0,0,0,0,0,0,172,2024
BINGHAM CANYON,0,0,0,32,0,4,0,0,0,0,0,0,0,36,2024
BLANDING,0,0,0,0,0,118,0,0,0,0,0,0,0,118,2024
BLANDING,0,0,0,10,3,1157,39,0,0,0,6,0,0,1215,2024
BLANDING,0,0,0,438,0,2092,21,0,0,0,2,0,0,2553,2024
BLANDING,0,0,0,205,0,24,0,0,0,0,0,0,0,229,2024
BLUEBELL,0,0,0,0,0,16,0,0,0,0,0,0,0,16,2024
BLUEBELL,0,0,0,2,1,227,1,0,0,0,0,0,0,231,2024
BLUEBELL,0,0,0,151,1,372,2,0,0,0,0,0,0,526,2024
BLUEBELL,0,0,0,46,0,4,0,0,0,0,0,0,0,50,2024
BLUFF,0,0,0,0,0,17,0,0,0,0,0,0,0,17,2024
BLUFF,0,0,0,5,2,200,8,0,0,0,1,0,0,216,2024
BLUFF,0,0,0,63,1,410,5,0,0,0,1,0,0,480,2024
BLUFF,0,0,0,9,0,0,0,0,0,0,0,0,0,9,2024
BLUFFDALE,0,0,0,0,1,462,0,0,0,0,0,0,0,463,2024
BLUFFDALE,0,0,8,47,162,4332,158,0,0,0,36,0,0,4743,2024
BLUFFDALE,0,0,9,1187,207,7022,227,0,0,0,50,0,0,8702,2024
BLUFFDALE,0,0,0,430,0,88,0,0,0,0,0,0,0,518,2024
BOULDER,0,0,0,0,0,8,0,0,0,0,0,0,0,8,2024
BOULDER,0,0,0,2,1,93,4,0,0,0,0,0,0,100,2024
BOULDER,0,0,0,54,2,254,3,0,0,0,1,0,0,314,2024
BOULDER,0,0,0,8,0,2,0,0,0,0,0,0,0,10,2024
BOUNTIFUL,0,0,0,0,4,1396,0,0,0,0,0,0,0,1400,2024
BOUNTIFUL,0,0,41,117,250,13380,558,0,0,1,91,1,0,14439,2024
BOUNTIFUL,0,0,14,1046,236,16029,587,0,0,0,89,1,0,18002,2024
BOUNTIFUL,0,0,2,254,0,113,0,0,0,0,0,0,0,369,2024
BRIAN HEAD,0,0,0,0,0,22,0,0,0,0,0,0,0,22,2024
BRIAN HEAD,0,0,0,1,0,90,2,0,0,0,1,0,0,94,2024
BRIAN HEAD,0,0,0,58,5,274,2,0,0,0,0,0,0,339,2024
BRIAN HEAD,0,0,0,23,0,4,0,0,0,0,0,0,0,27,2024
BRIGHAM CITY,0,0,0,0,1,828,0,0,0,0,0,0,0,829,2024
BRIGHAM CITY,0,0,37,105,52,9343,265,0,0,0,40,0,0,9842,2024
BRIGHAM CITY,0,0,18,1797,23,10065,154,0,0,0,13,0,0,12070,2024
BRIGHAM CITY,0,0,1,871,0,205,0,0,0,0,0,0,0,1077,2024
BRIGHTON,0,0,0,0,0,21,0,0,0,0,0,0,0,21,2024
BRIGHTON,0,0,0,1,5,72,3,0,0,0,0,0,0,81,2024
BRIGHTON,0,0,0,27,9,221,14,0,0,0,1,0,0,272,2024
BRIGHTON,0,0,0,3,0,3,0,0,0,0,0,0,0,6,2024
BROOKSIDE,0,0,0,0,0,13,0,0,0,0,0,0,0,13,2024
BROOKSIDE,0,0,0,3,1,81,4,0,0,0,0,0,0,89,2024
BROOKSIDE,0,0,0,53,1,187,2,0,0,0,0,0,0,243,2024
BROOKSIDE,0,0,0,15,0,7,0,0,0,0,0,0,0,22,2024
BRYCE CANYON,0,0,0,0,0,9,0,0,0,0,0,0,0,9,2024
BRYCE CANYON,0,0,0,2,0,133,8,0,0,0,2,0,0,145,2024
BRYCE CANYON,0,0,1,35,1,192,2,0,0,0,1,0,0,232,2024
BRYCE CANYON,0,0,0,26,0,2,0,0,0,0,0,0,0,28,2024
CANNONVILLE,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2024
CANNONVILLE,0,0,1,2,0,70,2,0,0,0,0,0,0,75,2024
CANNONVILLE,0,0,0,42,0,110,1,0,0,0,0,0,0,153,2024
CANNONVILLE,0,0,0,24,0,1,0,0,0,0,0,0,0,25,2024
CASTLE DALE,0,0,0,0,0,29,0,0,0,0,0,0,0,29,2024
CASTLE DALE,0,0,2,12,1,575,13,0,0,0,1,0,0,604,2024
CASTLE DALE,0,0,3,306,2,870,11,0,0,0,1,0,0,1193,2024
CASTLE DALE,0,0,0,109,0,9,0,0,0,0,0,0,0,118,2024
CASTLE VALLEY,0,0,0,0,0,42,0,0,0,0,0,0,0,42,2024
CASTLE VALLEY,0,0,0,1,0,121,7,0,0,0,1,0,0,130,2024
CASTLE VALLEY,0,0,0,51,6,306,6,0,0,0,2,0,0,371,2024
CASTLE VALLEY,0,0,0,17,0,4,0,0,0,0,0,0,0,21,2024
CEDAR CITY,0,0,0,0,2,1328,0,0,0,1,0,0,0,1331,2024
CEDAR CITY,0,0,51,278,97,14587,534,0,0,0,58,0,0,15605,2024
CEDAR CITY,0,1,48,4181,69,21972,367,0,0,1,71,0,0,26710,2024
CEDAR CITY,0,0,2,1217,0,305,0,0,0,0,0,13,0,1537,2024
CEDAR FORT,0,0,0,0,0,11,0,0,0,0,0,0,0,11,2024
CEDAR FORT,0,0,0,1,2,45,2,0,0,0,0,0,0,50,2024
CEDAR FORT,0,0,0,47,1,99,2,0,0,0,0,0,0,149,2024
CEDAR FORT,0,0,0,19,0,1,0,0,0,0,0,0,0,20,2024
CEDAR HILLS,0,0,0,0,2,270,0,0,0,0,0,0,0,272,2024
CEDAR HILLS,0,0,2,20,83,2759,146,0,0,0,19,0,0,3029,2024
CEDAR HILLS,0,0,2,203,67,3518,129,0,0,0,22,0,0,3941,2024
CEDAR HILLS,0,0,0,37,0,22,0,0,0,0,0,0,0,59,2024
CEDAR VALLEY,0,0,0,0,0,18,0,0,0,0,0,0,0,18,2024
CEDAR VALLEY,0,0,0,1,2,135,8,0,0,0,1,0,0,147,2024
CEDAR VALLEY,0,0,0,87,0,206,8,0,0,0,0,0,0,301,2024
CEDAR VALLEY,0,0,0,26,0,3,0,0,0,0,0,0,0,29,2024
CENTERFIELD,0,0,0,0,0,50,0,0,0,0,0,0,0,50,2024
CENTERFIELD,0,0,4,10,0,613,10,0,0,0,0,0,0,637,2024
CENTERFIELD,0,0,3,241,1,869,6,0,0,0,1,0,0,1121,2024
CENTERFIELD,0,0,0,84,0,4,0,0,0,0,0,0,0,88,2024
CENTERVILLE,0,0,0,0,1,473,0,0,0,0,0,0,0,474,2024
CENTERVILLE,0,0,13,62,106,5431,237,0,1,1,25,0,0,5876,2024
CENTERVILLE,0,0,4,555,92,6809,233,0,0,0,31,0,0,7724,2024
CENTERVILLE,0,0,0,291,0,65,0,0,0,0,0,0,0,356,2024
CENTRAL,0,0,0,0,0,32,0,0,0,0,0,0,0,32,2024
CENTRAL,0,0,1,5,8,263,11,0,0,0,3,0,0,291,2024
CENTRAL,0,0,1,115,1,448,2,0,0,0,0,0,0,567,2024
CENTRAL,0,0,0,10,0,15,0,0,0,0,0,0,0,25,2024
CENTRAL VALLEY,0,0,0,0,0,28,0,0,0,0,0,0,0,28,2024
CENTRAL VALLEY,0,0,1,1,1,269,11,0,0,0,0,0,0,283,2024
CENTRAL VALLEY,0,0,2,173,0,480,3,0,0,0,1,0,0,659,2024
CENTRAL VALLEY,0,0,0,19,0,5,0,0,0,0,0,0,0,24,2024
CHESTER,0,0,0,0,1,6,0,0,0,0,0,0,0,7,2024
CHESTER,0,0,0,4,2,171,2,0,0,0,0,0,0,179,2024
CHESTER,0,0,0,62,0,222,0,0,0,0,0,0,0,284,2024
CHESTER,0,0,0,23,0,2,0,0,0,0,0,0,0,25,2024
CIRCLEVILLE,0,0,0,0,0,9,0,0,0,0,0,0,0,9,2024
CIRCLEVILLE,0,0,3,7,0,244,3,0,0,0,0,0,0,257,2024
CIRCLEVILLE,0,0,3,124,0,358,3,0,0,0,0,0,0,488,2024
CIRCLEVILLE,0,0,0,49,0,3,0,0,0,0,0,0,0,52,2024
CLARKSTON,0,0,0,0,0,30,0,0,0,0,0,0,0,30,2024
CLARKSTON,0,0,0,3,3,264,13,0,0,0,0,0,0,283,2024
CLARKSTON,0,0,0,109,3,349,4,0,0,0,1,0,0,466,2024
CLARKSTON,0,0,0,37,0,13,0,0,0,0,0,0,0,50,2024
CLAWSON,0,0,0,0,0,10,0,0,0,0,0,0,0,10,2024
CLAWSON,0,0,0,0,0,80,2,0,0,0,0,0,0,82,2024
CLAWSON,0,0,0,38,0,115,1,0,0,0,0,0,0,154,2024
CLAWSON,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2024
CLEARFIELD,0,0,0,0,2,839,0,0,0,0,0,0,0,841,2024
CLEARFIELD,0,0,15,67,104,11150,350,0,1,0,55,0,0,11742,2024
CLEARFIELD,0,0,9,937,52,11141,213,0,0,0,33,0,0,12385,2024
CLEARFIELD,0,0,1,454,0,93,0,0,0,0,0,0,0,548,2024
CLEVELAND,0,0,0,0,0,29,0,0,0,0,0,0,0,29,2024
CLEVELAND,0,0,0,1,0,345,6,0,0,0,1,0,0,353,2024
CLEVELAND,0,0,0,230,0,506,1,0,0,0,0,0,0,737,2024
CLEVELAND,0,0,0,78,0,5,0,0,0,0,0,0,0,83,2024
CLINTON,0,0,0,0,2,654,0,0,0,0,0,0,0,656,2024
CLINTON,0,0,11,44,75,6597,195,0,0,0,27,0,0,6949,2024
CLINTON,0,0,7,885,55,7226,170,0,0,0,34,0,0,8377,2024
CLINTON,0,0,0,133,0,81,0,0,0,0,0,0,0,214,2024
COALVILLE,0,0,0,0,0,165,0,0,0,0,0,0,0,165,2024
COALVILLE,0,0,2,25,12,1409,24,0,0,0,5,0,0,1477,2024
COALVILLE,0,0,7,694,17,2742,76,0,0,0,3,0,0,3539,2024
COALVILLE,0,0,0,294,0,62,2,0,0,0,0,0,0,358,2024
COLLINSTON,0,0,0,0,0,14,0,0,0,0,0,0,0,14,2024
COLLINSTON,0,0,1,3,2,181,3,0,0,0,0,0,0,190,2024
COLLINSTON,0,0,0,98,2,243,1,0,0,0,1,0,0,345,2024
COLLINSTON,0,0,0,27,0,10,0,0,0,0,0,0,0,37,2024
COPPERTON,0,0,0,0,0,32,0,0,0,0,0,0,0,32,2024
COPPERTON,0,0,1,2,1,148,5,0,0,0,1,0,0,158,2024
COPPERTON,0,0,0,31,1,214,2,0,0,0,0,0,0,248,2024
COPPERTON,0,0,0,7,0,10,0,0,0,0,0,0,0,17,2024
CORINNE,0,0,0,0,0,70,0,0,0,0,0,0,0,70,2024
CORINNE,0,0,4,25,4,761,16,0,0,0,2,0,0,812,2024
CORINNE,0,0,1,368,3,1164,8,0,0,0,2,1,0,1547,2024
CORINNE,0,0,0,231,0,34,0,0,0,0,0,0,0,265,2024
CORNISH,0,0,0,0,0,7,0,0,0,0,0,0,0,7,2024
CORNISH,0,0,0,1,0,97,1,0,0,0,0,0,0,99,2024
CORNISH,0,0,0,27,0,143,1,0,0,0,0,0,0,171,2024
CORNISH,0,0,0,12,0,4,0,0,0,0,0,0,0,16,2024
COTTONWOOD HEIGHTS,0,0,0,0,6,481,0,0,0,0,0,0,0,487,2024
COTTONWOOD HEIGHTS,0,0,3,43,165,3602,183,0,0,0,31,0,0,4027,2024
COTTONWOOD HEIGHTS,0,0,1,333,228,5924,266,0,0,0,61,0,0,6813,2024
COTTONWOOD HEIGHTS,0,0,0,135,0,31,0,0,0,0,0,0,0,166,2024
COVE,0,0,0,0,0,26,0,0,0,0,0,0,0,26,2024
COVE,0,0,0,2,0,107,4,0,0,0,1,0,0,114,2024
COVE,0,0,0,57,1,221,9,0,0,0,1,0,0,289,2024
COVE,0,0,0,27,0,2,0,0,0,0,0,0,0,29,2024
CROYDON,0,0,0,0,0,6,0,0,0,0,0,0,0,6,2024
CROYDON,0,0,0,4,0,67,1,0,0,0,0,0,0,72,2024
CROYDON,0,0,0,59,1,121,1,0,0,0,0,0,0,182,2024
CROYDON,0,0,0,25,0,4,0,0,0,0,0,0,0,29,2024
DAMMERON VALLEY,0,0,0,0,0,107,0,0,0,0,0,0,0,107,2024
DAMMERON VALLEY,0,0,3,10,8,308,20,0,0,0,2,0,0,351,2024
DAMMERON VALLEY,0,0,1,188,7,606,26,0,0,0,5,0,0,833,2024
DAMMERON VALLEY,0,0,0,34,0,15,0,0,0,0,0,0,0,49,2024
DELTA,0,0,0,0,0,169,0,0,0,0,0,0,0,169,2024
DELTA,0,0,1,49,5,2462,42,0,0,0,8,0,0,2567,2024
DELTA,0,0,7,1058,4,3359,21,0,0,0,6,0,0,4455,2024
DELTA,0,0,0,541,0,55,0,0,0,0,0,0,0,596,2024
DEWEYVILLE,0,0,0,0,0,27,0,0,0,0,0,0,0,27,2024
DEWEYVILLE,0,0,0,9,2,265,11,0,0,0,0,0,0,287,2024
DEWEYVILLE,0,0,0,133,2,383,4,0,0,0,0,0,0,522,2024
DEWEYVILLE,0,0,0,20,0,4,0,0,0,0,0,0,0,24,2024
DRAPER,0,0,0,0,6,1514,0,0,0,1,0,0,0,1521,2024
DRAPER,0,0,10,131,563,13949,1212,0,1,0,75,0,0,15941,2024
DRAPER,0,0,19,2259,705,24222,816,0,0,0,190,1,0,28212,2024
DRAPER,0,0,0,1259,0,273,0,0,0,0,0,0,0,1532,2024
DUCHESNE,0,0,0,0,0,105,0,0,0,0,0,0,0,105,2024
DUCHESNE,0,0,0,25,2,1351,23,0,0,0,4,0,0,1405,2024
DUCHESNE,0,0,3,731,3,2376,16,0,0,0,3,0,0,3132,2024
DUCHESNE,0,0,0,347,0,52,0,0,0,0,0,1,0,400,2024
DUCK CREEK VILLAGE,0,0,0,0,0,42,0,0,0,0,0,0,0,42,2024
DUCK CREEK VILLAGE,0,0,0,11,4,167,9,0,0,0,1,0,0,192,2024
DUCK CREEK VILLAGE,0,0,2,273,6,578,7,0,0,0,3,0,0,869,2024
DUCK CREEK VILLAGE,0,0,0,43,0,17,0,0,0,0,0,0,0,60,2024
DUGWAY,0,0,0,0,0,19,0,0,0,0,0,0,0,19,2024
DUGWAY,0,0,0,1,0,96,4,0,0,0,0,0,0,101,2024
DUGWAY,0,0,0,16,0,239,5,0,0,0,0,0,0,260,2024
DUGWAY,0,0,0,17,0,1,0,0,0,0,0,0,0,18,2024
DUTCH JOHN,0,0,0,0,0,6,0,0,0,0,0,0,0,6,2024
DUTCH JOHN,0,0,0,2,0,67,0,0,0,0,0,0,0,69,2024
DUTCH JOHN,0,0,0,45,1,205,3,0,0,0,0,0,0,254,2024
DUTCH JOHN,0,0,0,11,0,1,0,0,0,0,0,0,0,12,2024
EAGLE MOUNTAIN,0,0,0,0,3,987,0,0,0,0,0,0,0,990,2024
EAGLE MOUNTAIN,0,0,16,108,324,11856,601,0,0,1,89,0,0,12995,2024
EAGLE MOUNTAIN,0,0,17,1516,283,16305,457,0,0,0,62,0,0,18640,2024
EAGLE MOUNTAIN,0,0,1,368,0,100,0,0,1,0,0,0,0,470,2024
EAST CARBON,0,0,0,0,0,43,0,0,0,0,0,0,0,43,2024
EAST CARBON,0,0,0,4,1,539,6,0,0,0,0,0,0,550,2024
EAST CARBON,0,0,1,102,0,631,1,0,0,0,1,0,0,736,2024
EAST CARBON,0,0,0,12,0,6,0,0,0,0,0,0,0,18,2024
EDEN,0,0,0,0,2,249,0,0,0,0,0,0,0,251,2024
EDEN,0,0,4,25,35,1001,40,0,0,0,5,0,0,1110,2024
EDEN,0,0,1,440,55,2316,69,0,0,0,28,0,0,2909,2024
EDEN,0,0,0,97,0,34,0,0,0,0,0,0,0,131,2024
ELBERTA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2024
ELBERTA,0,0,2,0,0,140,1,0,0,0,1,0,0,144,2024
ELBERTA,0,0,1,35,0,162,0,0,0,0,0,0,0,198,2024
ELBERTA,0,0,0,59,0,1,0,0,0,0,0,0,0,60,2024
ELK RIDGE,0,0,0,0,0,142,0,0,0,0,0,0,0,142,2024
ELK RIDGE,0,0,3,14,31,1255,50,0,0,0,9,0,0,1362,2024
ELK RIDGE,0,0,2,242,21,1719,62,0,0,0,13,0,0,2059,2024
ELK RIDGE,0,0,0,61,0,20,0,0,0,0,0,0,0,81,2024
ELMO,0,0,0,0,0,20,0,0,0,0,0,0,0,20,2024
ELMO,0,0,2,8,1,293,10,0,0,0,0,0,0,314,2024
ELMO,0,0,0,160,0,367,3,0,0,0,0,0,0,530,2024
ELMO,0,0,0,25,0,3,0,0,0,0,0,0,0,28,2024
ELSINORE,0,0,0,0,0,45,0,0,0,0,0,0,0,45,2024
ELSINORE,0,0,0,4,0,560,7,0,0,0,2,0,0,573,2024
ELSINORE,0,0,4,171,0,714,3,0,0,0,0,0,0,892,2024
ELSINORE,0,0,0,30,0,9,0,0,0,0,0,0,0,39,2024
ELWOOD,0,0,0,0,0,27,0,0,0,0,0,0,0,27,2024
ELWOOD,0,0,1,6,3,262,13,0,0,0,3,0,0,288,2024
ELWOOD,0,0,1,163,1,371,2,0,0,0,2,0,0,540,2024
ELWOOD,0,0,0,44,0,4,0,0,0,0,0,0,0,48,2024
EMERY,0,0,0,0,0,9,0,0,0,0,0,0,0,9,2024
EMERY,0,0,0,10,0,154,4,0,0,0,0,0,0,168,2024
EMERY,0,0,0,92,0,222,0,0,0,0,0,0,0,314,2024
EMERY,0,0,0,30,0,6,0,0,0,0,0,0,0,36,2024
ENOCH,0,0,0,0,0,206,0,0,0,0,0,0,0,206,2024
ENOCH,0,0,8,32,6,2065,59,0,0,0,11,0,0,2181,2024
ENOCH,0,0,6,729,7,3181,43,0,0,0,8,0,0,3974,2024
ENOCH,0,0,0,87,0,39,0,0,0,0,0,0,0,126,2024
ENTERPRISE,0,0,0,0,0,52,0,0,0,0,0,0,0,52,2024
ENTERPRISE,0,0,4,22,2,885,27,0,0,0,0,0,0,940,2024
ENTERPRISE,0,0,1,408,3,1261,16,0,0,0,0,0,0,1689,2024
ENTERPRISE,0,0,0,116,0,11,0,0,0,0,0,0,0,127,2024
EPHRAIM,0,0,0,0,1,126,0,0,0,0,0,0,0,127,2024
EPHRAIM,0,0,3,26,9,2042,77,0,0,0,8,0,0,2165,2024
EPHRAIM,0,0,5,487,7,2648,28,0,1,0,1,0,0,3177,2024
EPHRAIM,0,0,0,171,0,36,0,0,0,0,0,0,0,207,2024
ERDA,0,0,0,0,0,137,0,0,0,0,0,0,0,137,2024
ERDA,0,0,1,21,15,1291,40,0,0,0,10,0,0,1378,2024
ERDA,0,0,5,626,7,1605,26,0,0,0,9,0,0,2278,2024
ERDA,0,0,0,258,0,43,0,0,0,0,0,0,0,301,2024
ESCALANTE,0,0,0,0,0,43,0,0,0,0,0,0,0,43,2024
ESCALANTE,0,0,0,9,0,331,11,0,0,0,0,0,0,351,2024
ESCALANTE,0,0,1,237,2,683,9,0,0,0,3,0,0,935,2024
ESCALANTE,0,0,0,91,0,9,0,0,0,0,0,0,0,100,2024
EUREKA,0,0,0,0,0,30,0,0,0,0,0,0,0,30,2024
EUREKA,0,0,1,8,2,377,8,0,0,0,2,0,0,398,2024
EUREKA,0,0,1,160,0,516,2,0,0,0,0,0,0,679,2024
EUREKA,0,0,0,37,0,7,0,0,0,0,0,0,0,44,2024
FAIRFIELD,0,0,0,0,0,6,0,0,0,0,0,0,0,6,2024
FAIRFIELD,0,0,0,4,0,49,0,0,0,0,0,0,0,53,2024
FAIRFIELD,0,0,0,36,2,79,0,0,0,0,0,0,0,117,2024
FAIRFIELD,0,0,0,33,0,1,0,0,0,0,0,0,0,34,2024
FAIRVIEW,0,0,0,0,0,118,0,0,0,0,0,0,0,118,2024
FAIRVIEW,0,0,5,31,6,1483,36,0,0,0,9,0,0,1570,2024
FAIRVIEW,1,0,3,803,9,2104,14,0,0,0,3,0,0,2937,2024
FAIRVIEW,0,0,1,204,0,49,0,0,0,0,0,0,0,254,2024
FARMINGTON,0,0,0,0,2,675,0,0,0,0,0,0,0,677,2024
FARMINGTON,0,0,17,66,262,7185,352,0,0,0,39,0,0,7921,2024
FARMINGTON,0,0,14,778,254,9581,322,0,0,0,63,0,0,11012,2024
FARMINGTON,0,0,0,441,0,87,0,0,0,0,0,0,0,528,2024
FARR WEST,0,0,0,0,0,271,0,0,0,0,0,0,0,271,2024
FARR WEST,0,0,0,17,21,2067,54,0,0,0,9,0,0,2168,2024
FARR WEST,0,0,0,635,20,2795,73,0,0,0,6,0,0,3529,2024
FARR WEST,0,0,0,386,0,32,0,0,0,0,0,0,0,418,2024
FAYETTE,0,0,0,0,0,7,0,0,0,0,0,0,0,7,2024
FAYETTE,0,0,0,1,1,153,4,0,0,0,0,0,0,159,2024
FAYETTE,0,0,0,39,1,195,2,0,0,0,0,0,0,237,2024
FAYETTE,0,0,0,29,0,4,0,0,0,0,0,0,0,33,2024
FERRON,0,0,0,0,0,49,0,0,0,0,0,0,0,49,2024
FERRON,0,0,1,7,0,664,7,0,0,0,3,0,0,682,2024
FERRON,0,0,0,293,2,910,7,0,0,0,1,0,0,1213,2024
FERRON,0,0,0,32,0,15,0,0,0,0,0,0,0,47,2024
FIELDING,0,0,0,0,0,26,0,0,0,0,0,0,0,26,2024
FIELDING,0,0,1,4,0,328,4,0,0,0,4,0,0,341,2024
