Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2021,SARATOGA SPRINGS,Light Truck,0,7,833,19,10165,108,0,0,0,13,0,0,11145
2021,SARATOGA SPRINGS,Heavy Truck,0,0,144,0,78,0,0,0,0,0,0,0,222
2021,SCIPIO,Motorcycle - Standard,0,0,0,0,9,0,0,0,0,0,0,0,9
2021,SCIPIO,Passenger - Standard,0,0,4,0,144,5,0,0,0,0,0,0,153
2021,SCIPIO,Light Truck,0,1,75,0,194,0,0,0,0,0,0,0,270
2021,SCIPIO,Heavy Truck,0,0,4,0,2,0,0,0,0,0,0,0,6
2021,SCOFIELD,Motorcycle - Standard,0,0,0,0,4,0,0,0,0,0,0,0,4
2021,SCOFIELD,Passenger - Standard,0,1,1,0,44,1,0,0,0,0,0,0,47
2021,SCOFIELD,Light Truck,0,0,47,0,62,0,0,0,0,0,0,0,109
2021,SCOFIELD,Heavy Truck,0,0,7,0,3,0,0,0,0,0,0,0,10
2021,SEVIER,Motorcycle - Standard,0,0,0,0,5,0,0,0,0,0,0,0,5
2021,SEVIER,Passenger - Standard,0,0,0,0,72,1,0,0,0,0,0,0,73
2021,SEVIER,Light Truck,0,0,21,0,81,0,0,0,0,0,0,0,102
2021,SEVIER,Heavy Truck,0,0,6,0,3,0,0,0,0,0,0,0,9
2021,SIGURD,Motorcycle - Standard,0,0,0,0,14,0,0,0,0,0,0,0,14
2021,SIGURD,Passenger - Standard,0,1,1,0,213,2,0,0,0,0,0,0,217
2021,SIGURD,Light Truck,0,3,110,0,265,1,0,0,0,0,0,0,379
2021,SIGURD,Heavy Truck,0,0,78,0,5,0,0,0,0,0,0,0,83
2021,SMITHFIELD,Motorcycle - Standard,0,0,0,0,434,0,0,0,0,0,0,0,434
2021,SMITHFIELD,Passenger - Low Speed,0,0,0,1,1,0,0,0,0,0,0,0,2
2021,SMITHFIELD,Passenger - Standard,0,13,55,22,4603,136,0,0,0,16,0,0,4845
2021,SMITHFIELD,Light Truck,0,11,591,2,5196,51,0,0,0,0,0,0,5851
2021,SMITHFIELD,Heavy Truck,0,3,381,0,59,0,0,0,0,0,0,0,443
2021,SNOWVILLE,Motorcycle - Standard,0,0,0,0,6,0,0,0,0,0,0,0,6
2021,SNOWVILLE,Passenger - Standard,0,0,1,0,112,1,0,0,0,0,0,0,114
2021,SNOWVILLE,Light Truck,0,0,45,0,109,1,0,0,0,0,0,0,155
2021,SNOWVILLE,Heavy Truck,0,0,30,0,4,0,0,0,0,0,0,0,34
2021,SOUTH JORDAN,Motorcycle - Standard,0,0,0,1,1768,0,0,0,1,0,0,0,1770
2021,SOUTH JORDAN,Passenger - Low Speed,0,0,0,1,1,0,0,0,0,0,0,0,2
2021,SOUTH JORDAN,Passenger - Standard,0,55,190,356,25478,1000,0,0,1,153,0,0,27233
2021,SOUTH JORDAN,Light Truck,0,25,2538,100,25414,340,0,0,0,42,0,0,28459
2021,SOUTH JORDAN,Heavy Truck,0,7,509,0,331,0,0,0,0,0,0,0,847
2021,SOUTH OGDEN,Motorcycle - Standard,0,0,0,0,142,0,0,0,0,0,0,0,142
2021,SOUTH OGDEN,Passenger - Standard,0,4,17,7,1654,46,0,0,0,3,0,0,1731
2021,SOUTH OGDEN,Light Truck,0,0,107,4,1447,19,0,0,0,5,0,0,1582
2021,SOUTH OGDEN,Heavy Truck,0,0,24,0,18,0,0,0,0,0,0,0,42
2021,SOUTH SALT LAKE,Motorcycle - Standard,0,0,0,1,116,0,0,0,0,0,0,0,117
2021,SOUTH SALT LAKE,Passenger - Standard,0,2,7,22,2239,78,0,0,0,4,0,0,2352
2021,SOUTH SALT LAKE,Light Truck,0,3,105,5,2320,50,0,0,0,6,0,0,2489
2021,SOUTH SALT LAKE,Heavy Truck,0,3,624,2,73,0,0,0,0,0,0,0,702
2021,SOUTH WEBER,Motorcycle - Standard,0,0,0,0,210,0,0,0,1,0,0,0,211
2021,SOUTH WEBER,Passenger - Standard,0,6,25,19,2298,72,0,0,0,12,0,0,2432
2021,SOUTH WEBER,Light Truck,0,7,310,4,2325,29,0,0,0,2,0,0,2677
2021,SOUTH WEBER,Heavy Truck,0,0,65,0,25,0,0,0,0,0,0,0,90
2021,SPANISH FORK,Motorcycle - Standard,0,0,0,0,931,0,0,0,1,0,0,0,932
2021,SPANISH FORK,Passenger - Standard,0,38,135,65,14645,399,0,1,0,49,0,0,15332
2021,SPANISH FORK,Light Truck,0,20,2088,10,13859,82,0,0,0,7,0,0,16066
2021,SPANISH FORK,Heavy Truck,0,2,979,0,181,0,0,0,0,0,0,0,1162
2021,SPRING CITY,Motorcycle - Standard,0,0,0,1,51,0,0,0,0,0,0,0,52
2021,SPRING CITY,Passenger - Standard,0,3,12,1,654,14,0,0,0,0,0,0,684
2021,SPRING CITY,Light Truck,0,4,175,0,795,8,0,0,0,0,0,0,982
2021,SPRING CITY,Heavy Truck,0,0,38,0,14,0,0,0,0,0,0,0,52
2021,SPRINGDALE,Motorcycle - Standard,0,0,0,0,42,0,0,0,0,0,0,0,42
2021,SPRINGDALE,Passenger - Standard,0,1,6,3,290,26,0,0,0,2,0,0,328
2021,SPRINGDALE,Light Truck,0,0,43,2,440,9,0,0,0,0,0,0,494
2021,SPRINGDALE,Heavy Truck,0,0,7,0,4,0,0,0,0,0,2,0,13
2021,SPRINGVILLE,Motorcycle - Standard,0,0,0,0,865,0,0,0,1,0,0,0,866
2021,SPRINGVILLE,Passenger - Standard,0,35,106,53,11967,302,0,0,0,55,0,0,12518
2021,SPRINGVILLE,Light Truck,0,41,1131,9,11028,96,0,0,0,8,0,0,12313
2021,SPRINGVILLE,Heavy Truck,0,4,800,0,164,0,0,0,0,0,0,0,968
2021,STANSBURY PARK,Motorcycle - Standard,0,0,0,0,338,0,0,0,0,0,0,0,338
2021,STANSBURY PARK,Passenger - Standard,0,5,51,21,4811,119,0,0,0,18,0,0,5025
2021,STANSBURY PARK,Light Truck,0,9,509,3,3698,22,0,0,0,2,0,0,4243
2021,STANSBURY PARK,Heavy Truck,0,0,64,0,50,0,0,0,0,0,0,0,114
2021,STERLING,Motorcycle - Standard,0,0,0,0,14,0,0,0,0,0,0,0,14
2021,STERLING,Passenger - Standard,0,0,1,0,196,2,0,0,0,2,0,0,201
2021,STERLING,Light Truck,0,0,77,0,227,0,0,0,0,0,0,0,304
2021,STERLING,Heavy Truck,0,0,12,0,0,0,0,0,0,0,0,0,12
2021,STOCKTON,Motorcycle - Standard,0,0,0,0,67,0,0,0,0,0,0,0,67
2021,STOCKTON,Passenger - Standard,0,3,18,0,714,19,0,0,0,1,0,0,755
2021,STOCKTON,Light Truck,0,5,307,0,819,3,0,0,0,0,0,0,1134
2021,STOCKTON,Heavy Truck,0,0,51,0,14,0,0,0,0,0,0,0,65
2021,SUMMIT,Motorcycle - Standard,0,0,0,0,1,0,0,0,0,0,0,0,1
2021,SUMMIT,Passenger - Standard,0,0,2,0,81,3,0,0,0,0,0,0,86
2021,SUMMIT,Light Truck,0,1,36,0,127,0,0,0,0,0,0,0,164
2021,SUMMIT,Heavy Truck,0,0,9,0,1,0,0,0,0,0,0,0,10
2021,SUNNYSIDE,Motorcycle - Standard,0,0,0,0,6,0,0,0,0,0,0,0,6
2021,SUNNYSIDE,Passenger - Standard,0,0,1,0,142,0,0,0,0,1,0,0,144
2021,SUNNYSIDE,Light Truck,0,0,34,0,173,0,0,0,0,0,0,0,207
2021,SUNNYSIDE,Heavy Truck,0,0,6,0,4,0,0,0,0,0,0,0,10
2021,SUNSET,Motorcycle - Standard,0,0,0,0,131,0,0,0,0,0,0,0,131
2021,SUNSET,Passenger - Standard,0,4,11,2,1732,33,0,0,0,5,0,0,1787
2021,SUNSET,Light Truck,0,3,110,2,1306,6,0,0,0,0,0,0,1427
2021,SUNSET,Heavy Truck,0,0,18,0,16,0,0,0,0,0,0,0,34
2021,SYRACUSE,Motorcycle - Standard,0,0,0,0,742,0,0,0,0,0,0,0,742
2021,SYRACUSE,Passenger - Standard,0,38,76,74,11039,330,0,0,0,41,0,0,11598
2021,SYRACUSE,Light Truck,0,9,1319,12,10232,100,0,0,0,6,0,0,11678
2021,SYRACUSE,Heavy Truck,0,1,245,0,160,0,0,0,0,0,0,0,406
2021,TABIONA,Motorcycle - Standard,0,0,0,0,8,0,0,0,0,0,0,0,8
2021,TABIONA,Passenger - Standard,0,0,3,0,236,1,0,0,0,0,0,0,240
2021,TABIONA,Light Truck,0,1,134,0,336,1,0,0,0,0,0,0,472
