Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2021,"Salt Lake City, UT",41620,1/1/2021,73,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/2/2021,55,Moderate,PM2.5,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/3/2021,57,Moderate,PM2.5,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/4/2021,58,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/5/2021,37,Good,NO2,49-035-2005,8
2021,"Salt Lake City, UT",41620,1/6/2021,52,Moderate,PM2.5,49-035-3010,8
2021,"Salt Lake City, UT",41620,1/7/2021,65,Moderate,PM2.5,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/8/2021,70,Moderate,PM2.5,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/9/2021,59,Moderate,PM2.5,49-035-3010,8
2021,"Salt Lake City, UT",41620,1/10/2021,57,Moderate,PM2.5,49-035-3010,8
2021,"Salt Lake City, UT",41620,1/11/2021,75,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/12/2021,87,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/13/2021,74,Moderate,PM2.5,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/14/2021,52,Moderate,NO2,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/15/2021,51,Moderate,PM2.5,49-035-3015,8
2021,"Salt Lake City, UT",41620,1/16/2021,62,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/17/2021,63,Moderate,PM2.5,49-035-3010,8
2021,"Salt Lake City, UT",41620,1/18/2021,52,Moderate,PM2.5,49-035-3006,8
2021,"Salt Lake City, UT",41620,1/19/2021,42,Good,NO2,49-035-3010,8
2021,"Salt Lake City, UT",41620,1/20/2021,56,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/21/2021,76,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/22/2021,65,Moderate,PM2.5,49-045-0004,8
2021,"Salt Lake City, UT",41620,1/23/2021,60,Moderate,PM2.5,49-045-0004,8
2021,"Salt Lake City, UT",41620,1/24/2021,50,Good,PM2.5,49-035-3013,8
2021,"Salt Lake City, UT",41620,1/25/2021,61,Moderate,PM2.5,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/26/2021,56,Moderate,PM2.5,49-045-0004,8
2021,"Salt Lake City, UT",41620,1/27/2021,34,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,1/28/2021,33,Good,Ozone,49-035-4002,8
2021,"Salt Lake City, UT",41620,1/29/2021,36,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,1/30/2021,37,Good,Ozone,49-035-3006,8
2021,"Salt Lake City, UT",41620,1/31/2021,45,Good,PM2.5,49-035-2005,8
2021,"Salt Lake City, UT",41620,2/1/2021,65,Moderate,PM2.5,49-035-3010,8
2021,"Salt Lake City, UT",41620,2/2/2021,77,Moderate,PM2.5,49-035-3010,8
2021,"Salt Lake City, UT",41620,2/3/2021,36,Good,Ozone,49-035-3013,8
2021,"Salt Lake City, UT",41620,2/4/2021,52,Moderate,PM10,49-035-3015,8
2021,"Salt Lake City, UT",41620,2/5/2021,133,Unhealthy for Sensitive Groups,PM2.5,49-045-0004,8
