City and Vehicle Type,,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
,Light Truck,0,0,1,159,0,388,2,0,0,0,1,0,0,551
,Heavy Truck,0,0,0,57,0,3,0,0,0,0,0,0,0,60
TALMAGE,Motorcycle - Standard,0,0,0,0,0,9,0,0,0,0,0,0,0,9
,Passenger - Standard,0,0,0,1,0,86,2,0,0,0,0,0,0,89
,Light Truck,0,0,0,78,0,180,0,0,0,0,0,0,0,258
,Heavy Truck,0,0,0,15,0,3,0,0,0,0,0,0,0,18
TAYLOR,Motorcycle - Standard,0,0,0,0,0,43,0,0,0,0,0,0,0,43
,Passenger - Standard,0,0,2,5,2,316,9,0,0,0,1,0,0,335
,Light Truck,0,0,0,131,4,402,11,0,0,0,7,0,0,555
,Heavy Truck,0,0,0,24,0,6,0,0,0,0,0,0,0,30
TAYLORSVILLE,Motorcycle - Standard,0,0,0,0,3,"1,248",0,0,0,0,0,0,0,"1,251"
,Passenger - Standard,0,0,23,73,174,"17,329",531,0,0,0,57,0,0,"18,187"
,Light Truck,0,0,18,"1,278",134,"17,709",382,0,0,0,27,0,0,"19,548"
,Heavy Truck,0,0,0,574,0,164,0,0,0,0,0,0,0,738
TEASDALE,Motorcycle - Standard,0,0,0,0,0,13,0,0,0,0,0,0,0,13
,Passenger - Standard,0,0,0,6,1,122,6,0,0,0,1,0,0,136
,Light Truck,0,0,1,88,0,273,2,0,0,0,2,0,0,366
,Heavy Truck,0,0,0,3,0,5,0,0,0,0,0,0,0,8
THATCHER,Motorcycle - Standard,0,0,0,0,0,5,0,0,0,0,0,0,0,5
,Passenger - Standard,0,0,1,2,1,138,6,0,0,0,2,0,0,150
,Light Truck,0,0,0,69,0,171,2,0,0,0,0,0,0,242
,Heavy Truck,0,0,0,13,0,2,0,0,0,0,0,0,0,15
TOOELE,Motorcycle - Standard,0,0,0,0,0,"1,374",0,0,0,1,0,0,0,"1,375"
,Passenger - Standard,0,0,26,196,108,"18,027",434,0,0,0,74,0,0,"18,865"
,Light Truck,0,0,34,"3,121",58,"18,481",227,0,0,0,31,0,0,"21,952"
,Heavy Truck,0,0,2,782,0,229,0,0,0,0,0,0,0,"1,013"
TOQUERVILLE,Motorcycle - Standard,0,0,0,0,0,108,0,0,0,0,0,0,0,108
,Passenger - Standard,0,0,5,12,9,702,57,0,0,0,4,0,0,789
,Light Truck,0,0,2,206,13,988,21,0,0,0,1,0,0,"1,231"
,Heavy Truck,0,0,0,28,0,15,0,0,0,0,0,0,0,43
TORREY,Motorcycle - Standard,0,0,0,0,0,35,0,0,0,0,0,0,0,35
,Passenger - Standard,0,0,0,5,3,201,10,0,0,0,1,0,0,220
,Light Truck,0,0,0,113,2,375,2,0,0,0,0,0,0,492
,Heavy Truck,0,0,0,13,0,2,0,0,0,0,0,0,0,15
TREMONTON,Motorcycle - Standard,0,0,0,0,0,398,0,0,0,0,0,0,0,398
,Passenger - Standard,0,0,18,90,26,"5,334",154,0,0,0,23,0,0,"5,645"
,Light Truck,0,0,10,"1,880",23,"6,327",86,0,0,0,4,0,0,"8,330"
,Heavy Truck,0,0,0,668,0,94,0,0,0,0,0,0,0,762
TRENTON,Motorcycle - Standard,0,0,0,0,0,20,0,0,0,0,0,0,0,20
,Passenger - Standard,0,0,0,2,3,199,3,0,0,0,1,0,0,208
,Light Truck,0,0,0,53,0,250,4,0,0,0,0,0,0,307
,Heavy Truck,0,0,0,32,0,4,0,0,0,0,0,0,0,36
TRIDELL,Motorcycle - Standard,0,0,0,0,0,14,0,0,0,0,0,0,0,14
,Passenger - Standard,0,0,1,0,0,126,1,0,0,0,0,0,0,128
,Light Truck,0,0,0,45,0,194,1,0,0,0,0,0,0,240
,Heavy Truck,0,0,0,10,0,0,0,0,0,0,0,0,0,10
TROPIC,Motorcycle - Standard,0,0,0,0,0,2,0,0,0,0,0,0,0,2
,Passenger - Standard,0,0,0,4,1,151,2,0,0,0,0,0,0,158
,Light Truck,0,0,0,110,1,319,4,0,0,0,2,0,0,436
,Heavy Truck,0,0,0,19,0,6,0,0,0,0,0,0,0,25
UINTAH,Motorcycle - Standard,0,0,0,0,0,51,0,0,0,0,0,0,0,51
,Passenger - Standard,0,0,0,3,4,313,11,0,0,0,0,0,0,331
,Light Truck,0,0,0,66,5,406,9,0,0,0,2,0,0,488
,Heavy Truck,0,0,0,31,0,8,0,0,0,0,0,0,0,39
VENICE,Motorcycle - Standard,0,0,0,0,0,13,0,0,0,0,0,0,0,13
,Passenger - Standard,0,0,0,0,0,112,3,0,0,0,0,0,0,115
,Light Truck,0,0,1,64,0,172,5,0,0,0,0,0,0,242
,Heavy Truck,0,0,0,41,0,5,0,0,0,0,0,0,0,46
VERNAL,Motorcycle - Standard,0,0,0,0,1,"1,094",0,0,0,0,0,0,0,"1,095"
,Passenger - Standard,0,0,12,133,35,"8,238",122,0,0,0,10,0,0,"8,550"
,Light Truck,0,0,27,"3,882",21,"15,913",140,0,0,0,12,3,0,"19,998"
,Heavy Truck,0,0,3,"2,364",6,503,0,0,0,0,0,27,0,"2,903"
VERNON,Motorcycle - Standard,0,0,0,0,0,10,0,0,0,0,0,0,0,10
,Passenger - Standard,0,0,0,2,0,126,2,0,0,0,0,0,0,130
,Light Truck,0,0,0,60,0,156,0,0,0,0,0,0,0,216
,Heavy Truck,0,0,0,10,0,4,0,0,0,0,0,0,0,14
VEYO,Motorcycle - Standard,0,0,0,0,0,18,0,0,0,0,0,0,0,18
,Passenger - Standard,0,0,2,6,2,216,11,0,0,0,1,0,0,238
,Light Truck,0,0,0,116,1,356,4,0,0,0,1,0,0,478
,Heavy Truck,0,0,0,40,0,3,0,0,0,0,0,0,0,43
VINEYARD,Motorcycle - Standard,0,0,0,0,1,241,0,0,0,0,0,0,0,242
,Passenger - Standard,0,0,4,23,145,"3,445",186,0,0,1,30,0,0,"3,834"
,Light Truck,0,0,4,179,138,"4,371",182,0,0,0,36,0,0,"4,910"
,Heavy Truck,0,0,0,73,0,34,0,0,0,0,0,0,0,107
VIRGIN,Motorcycle - Standard,0,0,0,0,0,42,0,0,0,0,0,0,0,42
,Passenger - Standard,0,0,0,12,1,263,9,0,0,0,2,0,0,287
,Light Truck,0,0,1,101,5,508,9,0,0,0,4,0,0,628
,Heavy Truck,0,0,0,32,0,7,0,0,0,0,0,0,0,39
WALES,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
,Passenger - Standard,0,0,1,2,1,186,3,0,0,0,1,0,0,194
,Light Truck,0,0,1,81,0,248,4,0,0,0,0,0,0,334
,Heavy Truck,0,0,0,24,0,2,0,0,0,0,0,0,0,26
WALLSBURG,Motorcycle - Standard,0,0,0,0,0,29,0,0,0,0,0,0,0,29
,Passenger - Standard,0,0,0,7,1,330,6,0,0,0,0,0,0,344
,Light Truck,0,0,2,257,4,528,13,0,0,0,0,0,0,804
,Heavy Truck,0,0,0,38,0,7,0,0,0,0,0,0,0,45
WANSHIP,Motorcycle - Standard,0,0,0,0,0,49,0,0,0,0,0,0,0,49
,Passenger - Standard,0,0,0,8,8,285,7,0,0,0,1,0,0,309
,Light Truck,0,0,2,167,5,664,9,0,0,0,4,0,0,851
,Heavy Truck,0,0,0,30,0,5,0,0,0,0,0,0,0,35
WASHINGTON CITY,Motorcycle - Standard,0,0,0,0,5,"1,181",0,0,0,1,0,0,0,"1,187"
,Passenger - Standard,0,0,31,203,181,"11,203",595,0,0,0,53,0,0,"12,266"
,Light Truck,0,0,23,"2,657",157,"16,242",492,0,0,0,75,0,0,"19,646"
,Heavy Truck,0,0,1,904,0,269,0,0,0,0,0,0,0,"1,174"
WASHINGTON TERRACE,Motorcycle - Standard,0,0,0,0,0,113,0,0,0,0,0,0,0,113
,Passenger - Standard,0,0,1,7,11,"1,234",33,0,0,0,0,0,0,"1,286"
,Light Truck,0,0,2,107,9,"1,292",29,0,0,0,2,0,0,"1,441"
,Heavy Truck,0,0,0,20,0,15,0,0,0,0,0,0,0,35
