City and Vehicle Type,,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
,Passenger - Standard,0,0,52,169,282,"43,801","1,086",0,0,0,93,0,0,"45,483"
,Light Truck,0,0,57,"3,851",276,"45,106",686,0,0,0,90,0,0,"50,066"
,Heavy Truck,0,0,202,"2,601",1,574,1,0,0,0,0,1,0,"3,380"
WHITEROCKS,Motorcycle - Standard,0,0,0,0,0,19,0,0,0,0,0,0,0,19
,Passenger - Standard,0,0,0,1,0,136,0,0,0,0,0,0,0,137
,Light Truck,0,0,0,39,0,263,4,0,0,0,0,0,0,306
,Heavy Truck,0,0,0,14,0,0,0,0,0,0,0,0,0,14
WILLARD,Motorcycle - Standard,0,0,0,0,0,206,0,0,0,1,0,0,0,207
,Passenger - Standard,0,0,6,54,11,"2,002",55,0,0,0,17,0,0,"2,145"
,Light Truck,0,0,13,761,14,"2,324",47,0,0,0,6,0,0,"3,165"
,Heavy Truck,0,0,0,202,0,36,0,0,0,0,0,0,0,238
WOODLAND HILLS,Motorcycle - Standard,0,0,0,0,0,60,0,0,0,0,0,0,0,60
,Passenger - Standard,0,0,1,9,16,430,22,0,0,0,4,0,0,482
,Light Truck,0,0,0,102,30,742,31,0,0,0,8,0,0,913
,Heavy Truck,0,0,0,31,0,8,0,0,0,0,0,0,0,39
WOODRUFF,Motorcycle - Standard,0,0,0,0,0,6,0,0,0,0,0,0,0,6
,Passenger - Standard,0,0,0,3,0,133,2,0,0,0,0,0,0,138
,Light Truck,0,0,0,109,0,243,3,0,0,0,0,0,0,355
,Heavy Truck,0,0,0,28,0,3,0,0,0,0,0,0,0,31
WOODS CROSS,Motorcycle - Standard,0,0,0,0,2,345,0,0,0,0,0,0,0,347
,Passenger - Standard,0,1,9,30,57,"3,490",140,0,0,0,20,0,0,"3,747"
,Light Truck,0,0,2,459,31,"4,602",122,0,0,0,18,0,0,"5,234"
,Heavy Truck,0,0,2,333,0,59,0,0,0,0,0,0,0,394
