Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2020,MILFORD,Passenger - Standard,0,1,4,0,677,8,0,0,1,0,0,691
2020,MILFORD,Light Truck,0,5,215,0,891,3,0,0,0,0,0,1114
2020,MILFORD,Heavy Truck,0,0,93,0,16,0,0,0,0,0,0,109
2020,MILLCREEK,Motorcycle - Standard,0,0,0,0,116,0,0,0,0,0,0,116
2020,MILLCREEK,Passenger - Standard,0,0,14,33,1679,70,0,0,9,0,0,1805
2020,MILLCREEK,Light Truck,0,1,50,4,1344,34,0,0,1,0,0,1434
2020,MILLCREEK,Heavy Truck,0,0,7,0,9,0,0,0,0,0,0,16
2020,MILLVILLE,Motorcycle - Standard,0,0,0,0,87,0,0,0,0,0,0,87
2020,MILLVILLE,Passenger - Standard,0,2,11,1,879,15,0,0,1,0,0,909
2020,MILLVILLE,Light Truck,0,2,133,0,888,3,0,0,0,0,0,1026
2020,MILLVILLE,Heavy Truck,0,0,28,0,10,0,0,0,0,0,0,38
2020,MINERSVILLE,Motorcycle - Standard,0,0,0,0,8,0,0,0,0,0,0,8
2020,MINERSVILLE,Passenger - Standard,0,1,8,1,373,3,0,0,0,0,0,386
2020,MINERSVILLE,Light Truck,0,1,150,0,426,1,0,0,0,0,0,578
2020,MINERSVILLE,Heavy Truck,0,0,41,0,8,0,0,0,0,0,0,49
2020,MOAB,Motorcycle - Standard,0,0,0,1,615,0,0,0,0,0,0,616
2020,MOAB,Passenger - Low Speed,0,0,0,1,0,0,0,0,0,0,0,1
2020,MOAB,Passenger - Standard,0,6,64,8,4007,139,0,0,9,0,0,4233
2020,MOAB,Light Truck,0,9,988,2,5955,26,0,0,6,0,0,6986
2020,MOAB,Heavy Truck,0,2,346,0,102,0,0,0,0,0,0,450
2020,MONA,Motorcycle - Standard,0,0,0,0,59,0,0,0,0,0,0,59
2020,MONA,Passenger - Standard,0,12,21,1,1121,22,0,0,5,0,0,1182
2020,MONA,Light Truck,0,3,486,0,1043,1,0,0,1,0,0,1534
2020,MONA,Heavy Truck,0,0,412,0,22,0,0,0,0,0,0,434
2020,MONROE,Motorcycle - Standard,0,0,0,0,81,0,0,0,0,0,0,81
2020,MONROE,Passenger - Standard,0,15,9,1,1399,19,0,0,1,0,0,1444
2020,MONROE,Light Truck,0,5,412,0,1458,6,0,0,0,0,0,1881
2020,MONROE,Heavy Truck,0,0,111,0,32,0,0,0,0,0,0,143
2020,MONTEZUMA CREEK,Motorcycle - Standard,0,0,0,0,23,0,0,0,0,0,0,23
2020,MONTEZUMA CREEK,Passenger - Standard,0,0,0,0,327,3,0,0,1,0,0,331
2020,MONTEZUMA CREEK,Light Truck,0,0,60,0,561,1,0,0,0,0,0,622
2020,MONTEZUMA CREEK,Heavy Truck,0,0,17,0,1,0,0,0,0,0,0,18
2020,MONTICELLO,Motorcycle - Standard,0,0,0,0,60,0,0,0,0,0,0,60
2020,MONTICELLO,Passenger - Standard,0,1,10,1,864,18,0,0,0,0,0,894
2020,MONTICELLO,Light Truck,0,4,353,0,1359,4,0,0,0,0,0,1720
2020,MONTICELLO,Heavy Truck,0,0,156,0,20,0,0,0,0,0,0,176
2020,MONUMENT VALLEY,Motorcycle - Standard,0,0,0,0,6,0,0,0,0,0,0,6
2020,MONUMENT VALLEY,Passenger - Standard,0,0,0,0,104,4,0,0,0,0,0,108
2020,MONUMENT VALLEY,Light Truck,0,0,29,0,257,1,0,0,0,0,0,287
2020,MONUMENT VALLEY,Heavy Truck,0,0,12,0,3,0,0,0,0,0,0,15
2020,MORGAN,Motorcycle - Standard,0,0,0,0,285,0,0,0,0,0,0,285
2020,MORGAN,Passenger - Standard,0,16,52,13,4233,102,0,0,10,0,1,4427
2020,MORGAN,Light Truck,0,10,1312,2,4021,28,0,0,3,0,0,5376
2020,MORGAN,Heavy Truck,0,3,387,0,96,0,0,0,0,0,0,486
2020,MORONI,Motorcycle - Standard,0,0,0,0,30,0,0,0,0,0,0,30
2020,MORONI,Passenger - Standard,0,8,10,0,907,7,0,0,2,0,0,934
2020,MORONI,Light Truck,0,2,248,0,807,3,0,0,0,0,0,1060
2020,MORONI,Heavy Truck,0,0,65,0,18,0,0,0,0,0,0,83
2020,MOUNT CARMEL,Motorcycle - Standard,0,0,0,0,3,0,0,0,0,0,0,3
2020,MOUNT CARMEL,Passenger - Standard,0,0,2,0,72,1,0,0,0,0,0,75
2020,MOUNT CARMEL,Light Truck,0,0,35,0,108,0,0,0,0,0,0,143
2020,MOUNT CARMEL,Heavy Truck,0,0,24,0,1,0,0,0,0,0,0,25
2020,MOUNT PLEASANT,Motorcycle - Standard,0,0,0,0,110,0,0,0,0,0,0,110
2020,MOUNT PLEASANT,Passenger - Standard,0,11,29,8,2042,37,0,0,6,0,0,2133
2020,MOUNT PLEASANT,Light Truck,0,10,594,1,1981,5,0,0,0,0,0,2591
2020,MOUNT PLEASANT,Heavy Truck,0,1,192,0,60,0,0,0,0,0,0,253
2020,MOUNTAIN GREEN,Motorcycle - Standard,0,0,0,0,76,0,0,0,0,0,0,76
2020,MOUNTAIN GREEN,Passenger - Standard,0,8,20,9,1038,32,0,0,6,0,0,1113
2020,MOUNTAIN GREEN,Light Truck,0,2,241,1,1176,12,0,0,1,0,0,1433
2020,MOUNTAIN GREEN,Heavy Truck,0,0,58,0,19,0,0,0,0,0,0,77
2020,MOUNTAIN HOME,Motorcycle - Standard,0,0,0,0,4,0,0,0,0,0,0,4
2020,MOUNTAIN HOME,Passenger - Standard,0,0,0,0,83,1,0,0,0,0,0,84
2020,MOUNTAIN HOME,Light Truck,0,0,90,0,149,0,0,0,0,0,0,239
2020,MOUNTAIN HOME,Heavy Truck,0,0,41,0,1,0,0,0,0,0,0,42
2020,MURRAY,Motorcycle - Standard,0,0,0,1,977,0,0,1,0,0,0,979
2020,MURRAY,Passenger - Standard,0,27,91,102,15551,445,0,0,66,0,0,16282
2020,MURRAY,Light Truck,0,23,902,7,11811,130,0,0,9,0,0,12882
2020,MURRAY,Heavy Truck,0,6,773,0,324,0,0,0,0,3,0,1106
2020,MYTON,Motorcycle - Standard,0,0,0,0,23,0,0,0,0,0,0,23
2020,MYTON,Passenger - Standard,0,1,4,0,415,4,0,0,0,0,0,424
2020,MYTON,Light Truck,0,2,195,0,926,5,0,0,0,0,0,1128
2020,MYTON,Heavy Truck,0,0,251,0,25,0,0,0,0,0,0,276
