Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2020,"Salt Lake City, UT",41620,3/1/2020,43,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/2/2020,41,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/3/2020,48,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,3/4/2020,49,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,3/5/2020,41,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/6/2020,42,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/7/2020,70,Moderate,PM10,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/8/2020,43,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/9/2020,43,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/10/2020,41,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/11/2020,40,Good,NO2,49-035-3006,7
2020,"Salt Lake City, UT",41620,3/12/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/13/2020,42,Good,NO2,49-035-3006,7
2020,"Salt Lake City, UT",41620,3/14/2020,42,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/15/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/16/2020,46,Good,Ozone,49-035-3006,7
2020,"Salt Lake City, UT",41620,3/17/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/18/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/19/2020,40,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/20/2020,43,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/21/2020,46,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/22/2020,44,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/23/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/24/2020,45,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/25/2020,44,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/26/2020,46,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,3/27/2020,42,Good,Ozone,49-035-4002,7
2020,"Salt Lake City, UT",41620,3/28/2020,43,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/29/2020,44,Good,Ozone,49-035-3006,7
2020,"Salt Lake City, UT",41620,3/30/2020,44,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,3/31/2020,45,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/1/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/2/2020,41,Good,Ozone,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/3/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/4/2020,49,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,4/5/2020,48,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/6/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/7/2020,43,Good,Ozone,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/8/2020,53,Moderate,PM2.5,49-045-0004,7
2020,"Salt Lake City, UT",41620,4/9/2020,42,Good,PM2.5,49-035-3010,7
2020,"Salt Lake City, UT",41620,4/10/2020,51,Moderate,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/11/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/12/2020,46,Good,Ozone,49-035-4002,7
2020,"Salt Lake City, UT",41620,4/13/2020,49,Good,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/14/2020,55,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/15/2020,43,Good,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/16/2020,43,Good,Ozone,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/17/2020,55,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/18/2020,58,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/19/2020,52,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/20/2020,64,Moderate,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,4/21/2020,64,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/22/2020,57,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/23/2020,58,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/24/2020,54,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/25/2020,56,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/26/2020,56,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/27/2020,74,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/28/2020,63,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/29/2020,67,Moderate,PM2.5,49-035-3006,7
2020,"Salt Lake City, UT",41620,4/30/2020,44,Good,Ozone,49-035-3013,7
2020,"Salt Lake City, UT",41620,5/1/2020,49,Good,PM2.5,49-035-4002,7
2020,"Salt Lake City, UT",41620,5/2/2020,47,Good,Ozone,49-045-0004,7
2020,"Salt Lake City, UT",41620,5/3/2020,52,Moderate,PM2.5,49-035-3015,8
2020,"Salt Lake City, UT",41620,5/4/2020,67,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/5/2020,100,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/6/2020,80,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/7/2020,74,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/8/2020,100,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/9/2020,90,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,5/10/2020,87,Moderate,Ozone,49-045-0004,8
2020,"Salt Lake City, UT",41620,5/11/2020,84,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/12/2020,71,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/13/2020,51,Moderate,PM2.5,49-035-3015,8
2020,"Salt Lake City, UT",41620,5/14/2020,49,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,5/15/2020,44,Good,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,5/16/2020,51,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,5/17/2020,70,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,5/18/2020,85,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,5/19/2020,61,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/20/2020,54,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/21/2020,54,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,5/22/2020,54,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/23/2020,51,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,5/24/2020,42,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,5/25/2020,71,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,5/26/2020,67,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,5/27/2020,58,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,5/28/2020,53,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,5/29/2020,52,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,5/30/2020,52,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,5/31/2020,52,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,6/1/2020,48,Good,Ozone,49-045-0004,8
2020,"Salt Lake City, UT",41620,6/2/2020,77,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,6/3/2020,61,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/4/2020,60,Moderate,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,6/5/2020,70,Moderate,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,6/6/2020,65,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,6/7/2020,51,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/8/2020,39,Good,PM2.5,49-035-3015,8
2020,"Salt Lake City, UT",41620,6/9/2020,41,Good,Ozone,49-035-3015,8
2020,"Salt Lake City, UT",41620,6/10/2020,49,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/11/2020,47,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/12/2020,49,Good,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,6/13/2020,64,Moderate,Ozone,49-045-0004,8
2020,"Salt Lake City, UT",41620,6/14/2020,50,Good,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/15/2020,74,Moderate,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,6/16/2020,45,Good,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/17/2020,45,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/18/2020,43,Good,PM2.5,49-035-3015,8
2020,"Salt Lake City, UT",41620,6/19/2020,49,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/20/2020,50,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,6/21/2020,47,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,6/22/2020,49,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,6/23/2020,50,Good,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/24/2020,84,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/25/2020,49,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,6/26/2020,80,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/27/2020,97,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/28/2020,61,Moderate,PM2.5,49-035-3013,8
2020,"Salt Lake City, UT",41620,6/29/2020,74,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,6/30/2020,46,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,7/1/2020,77,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,7/2/2020,84,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,7/3/2020,62,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,7/4/2020,107,Unhealthy for Sensitive Groups,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,7/5/2020,214,Very Unhealthy,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,7/6/2020,129,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,7/7/2020,54,Moderate,PM2.5,49-035-3013,8
2020,"Salt Lake City, UT",41620,7/8/2020,87,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,7/9/2020,147,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,7/10/2020,90,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,7/11/2020,140,Unhealthy for Sensitive Groups,Ozone,49-035-2005,8
2020,"Salt Lake City, UT",41620,7/12/2020,77,Moderate,Ozone,49-035-2005,8
2020,"Salt Lake City, UT",41620,7/13/2020,58,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,7/14/2020,61,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,7/15/2020,93,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,7/16/2020,126,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,7/17/2020,54,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,7/18/2020,54,Moderate,Ozone,49-035-2005,8
2020,"Salt Lake City, UT",41620,7/19/2020,60,Moderate,PM2.5,49-035-3013,8
2020,"Salt Lake City, UT",41620,7/20/2020,61,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,7/21/2020,84,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,7/22/2020,55,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,7/23/2020,48,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,7/24/2020,68,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,7/25/2020,69,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,7/26/2020,67,Moderate,Ozone,49-035-4002,8
2020,"Salt Lake City, UT",41620,7/27/2020,84,Moderate,Ozone,49-035-3015,8
2020,"Salt Lake City, UT",41620,7/28/2020,74,Moderate,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,7/29/2020,77,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,7/30/2020,115,Unhealthy for Sensitive Groups,Ozone,49-035-2005,8
2020,"Salt Lake City, UT",41620,7/31/2020,126,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/1/2020,108,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/2/2020,105,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/3/2020,97,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/4/2020,93,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/5/2020,93,Moderate,Ozone,49-045-0004,8
2020,"Salt Lake City, UT",41620,8/6/2020,80,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/7/2020,100,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/8/2020,101,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/9/2020,80,Moderate,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/10/2020,87,Moderate,Ozone,49-035-2005,8
2020,"Salt Lake City, UT",41620,8/11/2020,64,Moderate,Ozone,49-035-2005,8
2020,"Salt Lake City, UT",41620,8/12/2020,63,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,8/13/2020,80,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/14/2020,84,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,8/15/2020,63,Moderate,PM2.5,49-035-2005,8
2020,"Salt Lake City, UT",41620,8/16/2020,71,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/17/2020,105,Unhealthy for Sensitive Groups,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/18/2020,97,Moderate,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,8/19/2020,93,Moderate,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,8/20/2020,112,Unhealthy for Sensitive Groups,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/21/2020,162,Unhealthy,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,8/22/2020,147,Unhealthy for Sensitive Groups,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,8/23/2020,114,Unhealthy for Sensitive Groups,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,8/24/2020,126,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/25/2020,105,Unhealthy for Sensitive Groups,Ozone,49-035-3010,8
2020,"Salt Lake City, UT",41620,8/26/2020,115,Unhealthy for Sensitive Groups,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,8/27/2020,80,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/28/2020,115,Unhealthy for Sensitive Groups,Ozone,49-035-3013,8
2020,"Salt Lake City, UT",41620,8/29/2020,71,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/30/2020,84,Moderate,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,8/31/2020,48,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,9/1/2020,43,Good,Ozone,49-035-0015,8
2020,"Salt Lake City, UT",41620,9/2/2020,53,Moderate,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,9/3/2020,49,Good,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,9/4/2020,87,Moderate,Ozone,49-035-0015,9
2020,"Salt Lake City, UT",41620,9/5/2020,97,Moderate,Ozone,49-035-2005,9
2020,"Salt Lake City, UT",41620,9/6/2020,101,Unhealthy for Sensitive Groups,Ozone,49-035-0015,9
2020,"Salt Lake City, UT",41620,9/7/2020,114,Unhealthy for Sensitive Groups,PM2.5,49-035-2005,9
2020,"Salt Lake City, UT",41620,9/8/2020,39,Good,PM2.5,49-045-0004,9
