City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
SUNNYSIDE,Light Truck,0,0,1,30,0,187,0,0,0,0,0,0,0,218
SUNNYSIDE,Heavy Truck,0,0,0,7,0,4,0,0,0,0,0,0,0,11
SUNSET,Motorcycle - Standard,0,0,0,0,1,132,0,0,0,0,0,0,0,133
SUNSET,Passenger - Standard,0,0,4,9,7,1534,28,0,0,0,3,0,0,1585
SUNSET,Light Truck,0,0,1,107,3,1266,15,0,0,0,2,0,0,1394
SUNSET,Heavy Truck,0,0,0,32,0,12,0,0,0,0,0,0,0,44
SYRACUSE,Motorcycle - Standard,0,0,0,0,1,900,0,0,0,0,0,0,0,901
SYRACUSE,Passenger - Standard,0,0,32,88,139,10557,407,0,0,0,51,0,0,11274
SYRACUSE,Light Truck,0,0,6,1407,93,11976,241,0,0,0,41,0,0,13764
SYRACUSE,Heavy Truck,0,0,1,298,0,154,0,0,0,0,0,0,0,453
TABIONA,Motorcycle - Standard,0,0,0,0,0,10,0,0,0,0,0,0,0,10
TABIONA,Passenger - Standard,0,0,0,2,0,240,4,0,0,0,0,0,0,246
TABIONA,Light Truck,0,0,1,148,0,381,2,0,0,0,1,1,0,534
TABIONA,Heavy Truck,0,0,0,51,0,3,0,0,0,0,0,0,0,54
TALMAGE,Motorcycle - Standard,0,0,0,0,0,8,0,0,0,0,0,0,0,8
TALMAGE,Passenger - Standard,0,0,0,0,0,82,1,0,0,0,0,0,0,83
TALMAGE,Light Truck,0,0,0,69,0,184,0,0,0,0,0,0,0,253
TALMAGE,Heavy Truck,0,0,0,21,0,4,0,0,0,0,0,0,0,25
TAYLOR,Motorcycle - Standard,0,0,0,0,0,45,0,0,0,0,0,0,0,45
TAYLOR,Passenger - Standard,0,0,1,3,6,304,6,0,0,0,2,0,0,322
TAYLOR,Light Truck,0,0,1,131,1,373,8,0,0,0,1,0,0,515
TAYLOR,Heavy Truck,0,0,0,21,0,3,0,0,0,0,0,0,0,24
TAYLORSVILLE,Motorcycle - Standard,0,0,0,0,3,1261,0,0,0,0,0,0,0,1264
TAYLORSVILLE,Passenger - Standard,0,0,27,64,132,18058,508,0,0,0,60,1,0,18850
TAYLORSVILLE,Light Truck,0,0,20,1303,76,16965,270,0,0,0,16,0,0,18650
TAYLORSVILLE,Heavy Truck,0,0,0,534,0,174,0,0,0,0,0,1,0,709
TEASDALE,Motorcycle - Standard,0,0,0,0,0,14,0,0,0,0,0,0,0,14
TEASDALE,Passenger - Standard,0,0,0,6,0,115,4,0,0,0,0,0,0,125
TEASDALE,Light Truck,0,0,0,81,0,243,2,0,0,0,0,0,0,326
TEASDALE,Heavy Truck,0,0,0,3,0,3,0,0,0,0,0,0,0,6
THATCHER,Motorcycle - Standard,0,0,0,0,0,7,0,0,0,0,0,0,0,7
THATCHER,Passenger - Standard,0,0,0,2,0,147,3,0,0,0,2,0,0,154
THATCHER,Light Truck,0,0,0,71,0,153,2,0,0,0,0,0,0,226
THATCHER,Heavy Truck,0,0,0,13,0,2,0,0,0,0,0,0,0,15
TOOELE,Motorcycle - Standard,0,0,0,0,0,1361,0,0,0,1,0,0,0,1362
TOOELE,Passenger - Standard,0,0,23,204,81,17708,408,0,0,0,70,0,0,18494
TOOELE,Light Truck,0,0,34,2893,34,16750,167,1,0,0,21,1,0,19901
TOOELE,Heavy Truck,0,0,1,714,0,207,0,0,0,0,0,0,0,922
